table_id,population,population_note,dimension,metric,analysis,quantity,definition,n_records,tag_majority_positive_n,estimate,estimate_status,estimate_undefined_reason,confidence_level,ci_lower,ci_upper,interval_status,bootstrap_requested,bootstrap_valid,bootstrap_invalid,bootstrap_invalid_reasons,bootstrap_seed,interval_method
PWA1T001,baseline,,Research Domains,MASI,Analysis 1 — Pairwise α among humans,alpha_AB,"α(A,B)",150,,0.5209151240617209,defined,,0.95,0.44351396031688894,0.5934978732268871,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap"
PWA1T001,baseline,,Research Domains,MASI,Analysis 1 — Pairwise α among humans,alpha_AC,"α(A,C)",150,,0.4384749990269008,defined,,0.95,0.35969238226345723,0.5099482478093682,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap"
PWA1T001,baseline,,Research Domains,MASI,Analysis 1 — Pairwise α among humans,alpha_BC,"α(B,C)",150,,0.6181437084811539,defined,,0.95,0.5276303034487998,0.6926194457925618,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap"
