table_id,population,population_note,dimension,metric,analysis,quantity,definition,n_records,tag_majority_positive_n,estimate,estimate_status,estimate_undefined_reason,confidence_level,ci_lower,ci_upper,interval_status,bootstrap_requested,bootstrap_valid,bootstrap_invalid,bootstrap_invalid_reasons,bootstrap_seed,interval_method
PWA1T010,baseline,,Demographic disparities / equity,nominal,Analysis 2 — Pairwise α between Fable 5 and each human,alpha_LA,"α(L,A)",150,11,0.2617283950617284,defined,,0.95,0.014440433212996373,0.48375451263537905,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap"
PWA1T010,baseline,,Demographic disparities / equity,nominal,Analysis 2 — Pairwise α between Fable 5 and each human,alpha_LB,"α(L,B)",150,11,0.6575900241761039,defined,,0.95,0.40485153391500145,0.8523456790123457,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap"
PWA1T010,baseline,,Demographic disparities / equity,nominal,Analysis 2 — Pairwise α between Fable 5 and each human,alpha_LC,"α(L,C)",150,11,0.3707912457912458,defined,,0.95,0.12959568733153637,0.5906412609540442,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap"
