table_id,population,population_note,dimension,metric,analysis,quantity,definition,n_records,tag_majority_positive_n,estimate,estimate_status,estimate_undefined_reason,confidence_level,ci_lower,ci_upper,interval_status,bootstrap_requested,bootstrap_valid,bootstrap_invalid,bootstrap_invalid_reasons,bootstrap_seed,interval_method
PWA1T023,hard_case,DIAGNOSTIC — non-representative,Analytical Purposes,MASI,Analysis 3 — Differences between human pairs,diff_AC_minus_AB,"α(A,C) − α(A,B)",75,,-0.09445776767471781,defined,,0.95,-0.2710891499341486,0.07934604803539541,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap"
PWA1T023,hard_case,DIAGNOSTIC — non-representative,Analytical Purposes,MASI,Analysis 3 — Differences between human pairs,diff_AC_minus_BC,"α(A,C) − α(B,C)",75,,0.07105547763758724,defined,,0.95,-0.08994450388487248,0.22177126072422407,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap"
PWA1T023,hard_case,DIAGNOSTIC — non-representative,Analytical Purposes,MASI,Analysis 3 — Differences between human pairs,diff_AB_minus_BC,"α(A,B) − α(B,C)",75,,0.16551324531230505,defined,,0.95,-0.006642199412378185,0.3372569355245198,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap"
