table_id,population,population_note,dimension,metric,analysis,quantity,definition,n_records,tag_majority_positive_n,estimate,estimate_status,estimate_undefined_reason,confidence_level,ci_lower,ci_upper,interval_status,bootstrap_requested,bootstrap_valid,bootstrap_invalid,bootstrap_invalid_reasons,bootstrap_seed,interval_method,exported_delta_name,exported_delta_point,d_ordering_ascending,delta_ordering_ascending,orderings_agree
PWA1T008,baseline,,Analytical Purposes,MASI,Analysis 4 — Replacement comparison per coder,H_A,"H_A = mean(α(A,B), α(A,C))",150,,0.32184331544666045,defined,,0.95,0.24597965500679184,0.3896021369199015,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap",delta_A,-0.016493292849379948,B < A < C,B < A < C,yes
PWA1T008,baseline,,Analytical Purposes,MASI,Analysis 4 — Replacement comparison per coder,M_A,"M_A = mean(α(L,B), α(L,C))",150,,0.2944199928229112,defined,,0.95,0.21929235424294255,0.3647132961891375,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap",delta_A,-0.016493292849379948,B < A < C,B < A < C,yes
PWA1T008,baseline,,Analytical Purposes,MASI,Analysis 4 — Replacement comparison per coder,D_A,D_A = M_A − H_A,150,,-0.027423322623749247,defined,,0.95,-0.10423304541366642,0.04643989576649203,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap",delta_A,-0.016493292849379948,B < A < C,B < A < C,yes
PWA1T008,baseline,,Analytical Purposes,MASI,Analysis 4 — Replacement comparison per coder,H_B,"H_B = mean(α(A,B), α(B,C))",150,,0.2726826139694514,defined,,0.95,0.1898545855379676,0.34440167103788905,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap",delta_B,-0.04266825138963548,B < A < C,B < A < C,yes
PWA1T008,baseline,,Analytical Purposes,MASI,Analysis 4 — Replacement comparison per coder,M_B,"M_B = mean(α(L,A), α(L,C))",150,,0.20497974578722522,defined,,0.95,0.12344093692132445,0.2770960645591929,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap",delta_B,-0.04266825138963548,B < A < C,B < A < C,yes
PWA1T008,baseline,,Analytical Purposes,MASI,Analysis 4 — Replacement comparison per coder,D_B,D_B = M_B − H_B,150,,-0.0677028681822262,defined,,0.95,-0.14149762283855624,0.007081413617002109,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap",delta_B,-0.04266825138963548,B < A < C,B < A < C,yes
PWA1T008,baseline,,Analytical Purposes,MASI,Analysis 4 — Replacement comparison per coder,H_C,"H_C = mean(α(A,C), α(B,C))",150,,0.2542268387119713,defined,,0.95,0.17150769936331592,0.3313587233588144,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap",delta_C,0.06543028157053765,B < A < C,B < A < C,yes
PWA1T008,baseline,,Analytical Purposes,MASI,Analysis 4 — Replacement comparison per coder,M_C,"M_C = mean(α(L,A), α(L,B))",150,,0.365132122956196,defined,,0.95,0.28972895496646095,0.43425784203234286,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap",delta_C,0.06543028157053765,B < A < C,B < A < C,yes
PWA1T008,baseline,,Analytical Purposes,MASI,Analysis 4 — Replacement comparison per coder,D_C,D_C = M_C − H_C,150,,0.11090528424422469,defined,,0.95,0.015468977987400549,0.2010274066607063,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap",delta_C,0.06543028157053765,B < A < C,B < A < C,yes
