table_id,population,population_note,dimension,metric,analysis,quantity,definition,n_records,tag_majority_positive_n,estimate,estimate_status,estimate_undefined_reason,confidence_level,ci_lower,ci_upper,interval_status,bootstrap_requested,bootstrap_valid,bootstrap_invalid,bootstrap_invalid_reasons,bootstrap_seed,interval_method,exported_delta_name,exported_delta_point,d_ordering_ascending,delta_ordering_ascending,orderings_agree
PWA1T020,hard_case,DIAGNOSTIC — non-representative,Research Domains,MASI,Analysis 4 — Replacement comparison per coder,H_A,"H_A = mean(α(A,B), α(A,C))",75,,0.4666596582596229,defined,,0.95,0.3780651227241642,0.5486842725115699,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap",delta_A,-0.023623678519905322,C < A < B,C < A < B,yes
PWA1T020,hard_case,DIAGNOSTIC — non-representative,Research Domains,MASI,Analysis 4 — Replacement comparison per coder,M_A,"M_A = mean(α(L,B), α(L,C))",75,,0.43080681961877626,defined,,0.95,0.33879373498025345,0.5188368231059075,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap",delta_A,-0.023623678519905322,C < A < B,C < A < B,yes
PWA1T020,hard_case,DIAGNOSTIC — non-representative,Research Domains,MASI,Analysis 4 — Replacement comparison per coder,D_A,D_A = M_A − H_A,75,,-0.03585283864084665,defined,,0.95,-0.12434538164605691,0.04914731010162785,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap",delta_A,-0.023623678519905322,C < A < B,C < A < B,yes
PWA1T020,hard_case,DIAGNOSTIC — non-representative,Research Domains,MASI,Analysis 4 — Replacement comparison per coder,H_B,"H_B = mean(α(A,B), α(B,C))",75,,0.4475791926522337,defined,,0.95,0.35204077524466887,0.5326437202147272,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap",delta_B,-0.019341275053380347,C < A < B,C < A < B,yes
PWA1T020,hard_case,DIAGNOSTIC — non-representative,Research Domains,MASI,Analysis 4 — Replacement comparison per coder,M_B,"M_B = mean(α(L,A), α(L,C))",75,,0.4176168357729276,defined,,0.95,0.32703019490863783,0.504569994336964,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap",delta_B,-0.019341275053380347,C < A < B,C < A < B,yes
PWA1T020,hard_case,DIAGNOSTIC — non-representative,Research Domains,MASI,Analysis 4 — Replacement comparison per coder,D_B,D_B = M_B − H_B,75,,-0.02996235687930615,defined,,0.95,-0.11682947461999633,0.05915511201178488,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap",delta_B,-0.019341275053380347,C < A < B,C < A < B,yes
PWA1T020,hard_case,DIAGNOSTIC — non-representative,Research Domains,MASI,Analysis 4 — Replacement comparison per coder,H_C,"H_C = mean(α(A,C), α(B,C))",75,,0.4700199357492718,defined,,0.95,0.3747178292589058,0.5570549258822285,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap",delta_C,-0.027389643461722457,C < A < B,C < A < B,yes
PWA1T020,hard_case,DIAGNOSTIC — non-representative,Research Domains,MASI,Analysis 4 — Replacement comparison per coder,M_C,"M_C = mean(α(L,A), α(L,B))",75,,0.4303514466303623,defined,,0.95,0.3474000799323448,0.515056259122532,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap",delta_C,-0.027389643461722457,C < A < B,C < A < B,yes
PWA1T020,hard_case,DIAGNOSTIC — non-representative,Research Domains,MASI,Analysis 4 — Replacement comparison per coder,D_C,D_C = M_C − H_C,75,,-0.03966848911890952,defined,,0.95,-0.1298901962306888,0.05742872553527802,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap",delta_C,-0.027389643461722457,C < A < B,C < A < B,yes
