table_id,population,population_note,dimension,metric,analysis,quantity,definition,n_records,tag_majority_positive_n,estimate,estimate_status,estimate_undefined_reason,confidence_level,ci_lower,ci_upper,interval_status,bootstrap_requested,bootstrap_valid,bootstrap_invalid,bootstrap_invalid_reasons,bootstrap_seed,interval_method
PWA1T003,baseline,,Research Domains,MASI,Analysis 3 — Differences between human pairs,diff_AC_minus_AB,"α(A,C) − α(A,B)",150,,-0.08244012503482012,defined,,0.95,-0.15587760837205256,-0.014014882133003847,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap"
PWA1T003,baseline,,Research Domains,MASI,Analysis 3 — Differences between human pairs,diff_AC_minus_BC,"α(A,C) − α(B,C)",150,,-0.17966870945425306,defined,,0.95,-0.25895003989480486,-0.09674450908795697,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap"
PWA1T003,baseline,,Research Domains,MASI,Analysis 3 — Differences between human pairs,diff_AB_minus_BC,"α(A,B) − α(B,C)",150,,-0.09722858441943294,defined,,0.95,-0.1915528505353962,0.006661526998430506,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap"
