table_id,population,population_note,dimension,metric,analysis,quantity,definition,n_records,tag_majority_positive_n,estimate,estimate_status,estimate_undefined_reason,confidence_level,ci_lower,ci_upper,interval_status,bootstrap_requested,bootstrap_valid,bootstrap_invalid,bootstrap_invalid_reasons,bootstrap_seed,interval_method
PWA1T009,baseline,,Demographic disparities / equity,nominal,Analysis 1 — Pairwise α among humans,alpha_AB,"α(A,B)",150,11,0.4386414063833418,defined,,0.95,0.11835707833268812,0.7046913580246914,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap"
PWA1T009,baseline,,Demographic disparities / equity,nominal,Analysis 1 — Pairwise α among humans,alpha_AC,"α(A,C)",150,11,0.6859243697478992,defined,,0.95,0.44212649532942233,0.8678018704515296,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap"
PWA1T009,baseline,,Demographic disparities / equity,nominal,Analysis 1 — Pairwise α among humans,alpha_BC,"α(B,C)",150,11,0.3915343915343915,defined,,0.95,0.09344787711660987,0.6091257192782857,reported,2000,2000,0,,20260917,"percentile (Hyndman-Fan Type 7), joint record-level bootstrap"
