domain,count
Labour Market & Employment,416
Business & Productivity,366
Education & Skills,253
Health & Social Care,245
"Poverty, Wealth & Living Standards",91
Environment & Agriculture,86
Migration & Demographics,79
Crime & Justice,79
Data Infrastructure & Methodology,51
Housing & Planning,46
Public Finance & Taxation,25
Unclear from Register Entry,4
