purpose,count
Outcome Tracking,471
Descriptive Monitoring,397
Policy Evaluation / Impact Analysis,239
Life-Course / Trajectory Analysis,95
Methodological / Infrastructure Research,78
Service Interaction / Systems Analysis,24
Risk Prediction / Early Identification,19
Unclear from Register Entry,4
