deviation_id,date_identified,study_stage,protocol_section,description,reason,affected_records_or_outputs,temporary_action,substantive,amendment_required,resolution,resolved_date,reviewer,status
DEV-001,2026-07-23,pre-registration ethics/DPO documentation review,Project Owner data handling and withdrawal wording,Protocol candidate v0.16 says invitation materials explain the deadline for withdrawal before analysis lock; participant-facing materials promise withdrawal before analysis begins.,Align the protocol documentation to the earlier and safer participant-facing commitment.,Documentation candidate only; no participant record or analytical output affected.,Do not treat v0.16 as the final submission copy; prepare a hand-maintained v0.17 replacing only the withdrawal-deadline phrase.,no,no,Applied in Validation_Protocol_PreReg_v0.17.docx: the participant-withdrawal sentence now says “before analysis begins”; the unrelated analytical-freeze use of “analysis lock” remains unchanged.,2026-07-23,Balint Stewart,applied
DEV-002,2026-07-24,post-registration pre-draw implementation correction,Gate 2 execution guard,"Corrected an unsatisfiable self-referential Git-commit check in the Gate 2 enforcement implementation. The revised guard validates the direct parent of the authorisation commit as the frozen implementation basis.",The prior guard required the receipt basis commit to equal both the manifest implementation-check commit and execution-time HEAD even though the receipt and gate-state change must be committed first.,No sample or assignment output; no Record ID; no registered packet artefact; no scientific input or study decision affected.,Replace execution-time HEAD equality with the A-to-B direct-parent handshake; require a tracked canonical JSON receipt and restrict commit B to the explicit administrative allowlist.,no,no,"Implemented and synthetic-tested the direct-parent guard. No sampling rule, seed, population, exclusion, stratum, draw order, instrument or analysis decision changed, and no sample had been drawn.",2026-07-24,Project lead instruction,applied
DEV-003,2026-08-18,post-registration pre-recruitment provenance correction,§11 controlled-artifact and provenance archiving,"Corrected stale SHA-256 guards and preregistration-manifest identities caused by inconsistent CRLF and LF representations. Corrections used three distinct evidential bases: exact reproduction of recorded hashes by converting current LF bytes to CRLF; separate investigation of RED-079, whose recorded digest matched no committed version of the file and no other blob at commit d51e5512 in any tested encoding and is therefore presumed to represent an unrecoverable intermediate authoring state; and correction of candidate 0.3 internal guards after reproducing their historical CRLF identities from current LF content.",.gitattributes mandates LF for the affected text artefacts but several digests had been recorded from CRLF representations; RED-079 had instead recorded a digest that could not be associated with any committed artefact.,"Hash guards and manifest metadata only. The frozen classification output remained 1,308 records and every substantive_domains, analytical_purpose and cross_cutting_tags value was identical between representations. No dictionary content, classification value, sample, assignment, participant record or analytical output changed.",Halted candidate 0.4 generation while each mismatch was classified; updated only guards proven representational and separately investigated the unreproducible RED-079 digest.,no,no,Updated the affected guards and manifest rows to the working-tree LF identities with dated explanatory comments; propagated the candidate 0.3 builder identity; and verified that all predecessor pins and controlled manifest rows resolve without changing scientific content.,2026-08-18,Balint Stewart,applied
DEV-004,2026-08-17,pre-recruitment live instrument QA,§8.6 hidden-child-value handling,"The protocol states that values in fields hidden after a changed parent response are preserved but excluded from derived variables. Controlled live testing in PID 9149 showed that REDCap instead deletes those child values without warning when the parent response changes.",The protocol and analysis plan assumed retained hidden values; the deployed REDCap behaviour is deletion rather than retention.,"The finding arose during synthetic live QA, so no participant data were affected when it was identified. This is not confined to QA: the same REDCap behaviour will apply to every real owner response in which a changed parent answer hides a populated child field. The child value will be deleted rather than retained, affecting the raw export and the factual basis of the §8.6 derivation rule.",Treat hidden child values as deleted or blank rather than retained; do not infer retained data; amend the protocol and corresponding analysis documentation before recruitment and analysis.,no,yes,Open: amend §8.6 and the corresponding analysis implementation and documentation to state that REDCap deletes hidden child values and that derived variables are evaluated from the final branching state.,,Balint Stewart,open
