label,baseline_human_majority_support_n,support_band,exported_caution,eligible_for_per_label_performance,eligible_for_macro_average,performance_metrics_reportable,tp_estimate_string,tp_estimate,tp_lower_string,tp_lower,tp_upper_string,tp_upper,tp_estimate_status,tp_interval_status,tp_method,tp_confidence,tp_status_string,fp_estimate_string,fp_estimate,fp_lower_string,fp_lower,fp_upper_string,fp_upper,fp_estimate_status,fp_interval_status,fp_method,fp_confidence,fp_status_string,fn_estimate_string,fn_estimate,fn_lower_string,fn_lower,fn_upper_string,fn_upper,fn_estimate_status,fn_interval_status,fn_method,fn_confidence,fn_status_string,tn_estimate_string,tn_estimate,tn_lower_string,tn_lower,tn_upper_string,tn_upper,tn_estimate_status,tn_interval_status,tn_method,tn_confidence,tn_status_string,precision_estimate_string,precision_estimate,precision_lower_string,precision_lower,precision_upper_string,precision_upper,precision_estimate_status,precision_interval_status,precision_method,precision_confidence,precision_status_string,recall_estimate_string,recall_estimate,recall_lower_string,recall_lower,recall_upper_string,recall_upper,recall_estimate_status,recall_interval_status,recall_method,recall_confidence,recall_status_string,f1_estimate_string,f1_estimate,f1_lower_string,f1_lower,f1_upper_string,f1_upper,f1_estimate_status,f1_interval_status,f1_method,f1_confidence,f1_status_string
Descriptive Monitoring,36,STANDARD,False,True,True,True,26,26,,,,,R,N,,,R/N,26,26,,,,,R,N,,,R/N,10,10,,,,,R,N,,,R/N,88,88,,,,,R,N,,,R/N,0.5,0.5,0.36666666666666664,0.36666666666666664,0.6389166666666665,0.6389166666666665,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,0.7222222222222222,0.7222222222222222,0.5675675675675675,0.5675675675675675,0.8611111111111112,0.8611111111111112,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,0.5909090909090908,0.5909090909090908,0.46336772983114444,0.46336772983114444,0.698825301204819,0.698825301204819,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000
Policy Evaluation / Impact Analysis,30,STANDARD,False,True,True,True,21,21,,,,,R,N,,,R/N,12,12,,,,,R,N,,,R/N,9,9,,,,,R,N,,,R/N,108,108,,,,,R,N,,,R/N,0.6363636363636364,0.6363636363636364,0.4594594594594595,0.4594594594594595,0.8076923076923077,0.8076923076923077,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,0.7,0.7,0.53125,0.53125,0.8571428571428571,0.8571428571428571,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,0.6666666666666666,0.6666666666666666,0.507276119402985,0.507276119402985,0.7931171319102353,0.7931171319102353,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000
Unclear from Register Entry,26,LOW SUPPORT,True,True,True,True,1,1,,,,,R,N,,,R/N,0,0,,,,,R,N,,,R/N,25,25,,,,,R,N,,,R/N,124,124,,,,,R,N,,,R/N,1.0,1.0,,,,,R,SV,,,R/SV; valid/invalid/requested draws 1233/767/2000; Saved methods suppress intervals below 1800 valid replicates; observed counts retained,0.038461538461538464,0.038461538461538464,0.0,0.0,0.125,0.125,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,0.07407407407407407,0.07407407407407407,,,,,R,SV,,,R/SV; valid/invalid/requested draws 1233/767/2000; Saved methods suppress intervals below 1800 valid replicates; observed counts retained
Outcome Tracking,19,LOW SUPPORT,True,True,True,True,13,13,,,,,R,N,,,R/N,34,34,,,,,R,N,,,R/N,6,6,,,,,R,N,,,R/N,97,97,,,,,R,N,,,R/N,0.2765957446808511,0.2765957446808511,0.15214315012305168,0.15214315012305168,0.4167151162790695,0.4167151162790695,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,0.6842105263157895,0.6842105263157895,0.4583333333333333,0.4583333333333333,0.8888888888888888,0.8888888888888888,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,0.393939393939394,0.393939393939394,0.22943086916176925,0.22943086916176925,0.5397039897039896,0.5397039897039896,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000
Life-Course / Trajectory Analysis,9,RARE,False,False,False,False,3,3,,,,,R,N,,,R/N,8,8,,,,,R,N,,,R/N,6,6,,,,,R,N,,,R/N,133,133,,,,,R,N,,,R/N,,,,,,,W,W,,,W/W,,,,,,,W,W,,,W/W,,,,,,,W,W,,,W/W
Methodological / Infrastructure Research,7,RARE,False,False,False,False,5,5,,,,,R,N,,,R/N,5,5,,,,,R,N,,,R/N,2,2,,,,,R,N,,,R/N,138,138,,,,,R,N,,,R/N,,,,,,,W,W,,,W/W,,,,,,,W,W,,,W/W,,,,,,,W,W,,,W/W
Risk Prediction / Early Identification,1,RARE,False,False,False,False,1,1,,,,,R,N,,,R/N,1,1,,,,,R,N,,,R/N,0,0,,,,,R,N,,,R/N,148,148,,,,,R,N,,,R/N,,,,,,,W,W,,,W/W,,,,,,,W,W,,,W/W,,,,,,,W,W,,,W/W
Service Interaction / Systems Analysis,1,RARE,False,False,False,False,1,1,,,,,R,N,,,R/N,3,3,,,,,R,N,,,R/N,0,0,,,,,R,N,,,R/N,146,146,,,,,R,N,,,R/N,,,,,,,W,W,,,W/W,,,,,,,W,W,,,W/W,,,,,,,W,W,,,W/W
