figure_id,role,population,dimension,source_table_id,source_row_key,quantity,series,label,source_value_string,plot_value,interval_lower_string,interval_lower,interval_upper_string,interval_upper,estimate_status,interval_status,interval_method,confidence_level_wording,sample_size_string,sample_size,sample_unit,support_band,exported_caution,unavailable_reason,human_majority_positive_n_string,human_majority_positive_n,model_positive_n_string,model_positive_n,fp_string,fp,fn_string,fn,performance_metrics_reportable,pair_family,relation,eligible_pairs_string,eligible_pairs,pair_count_string,pair_count,empty_set_pairs_string,empty_set_pairs,nonempty_proportion_status
figure_4,plotted,baseline,Research Domains,S5T003,Business & Productivity,label_counts,,Business & Productivity,,,,,,,R,N,,not applicable for exported counts,150 records,150,records,STANDARD,False,,41,41,45,45,5,5,1,1,True,,,,,,,,,
figure_4,caption,baseline,Research Domains,S5T003,Crime & Justice,excluded_label_fp_fn,,Crime & Justice,,,,,,,R,N,,not applicable for exported counts,150 records,150,records,RARE,False,,4,4,4,4,0,0,0,0,False,,,,,,,,,
figure_4,caption,baseline,Research Domains,S5T003,Data Infrastructure & Methodology,excluded_label_fp_fn,,Data Infrastructure & Methodology,,,,,,,R,N,,not applicable for exported counts,150 records,150,records,RARE,False,,0,0,4,4,4,4,0,0,False,,,,,,,,,
figure_4,plotted,baseline,Research Domains,S5T003,Education & Skills,label_counts,,Education & Skills,,,,,,,R,N,,not applicable for exported counts,150 records,150,records,LOW SUPPORT,True,,27,27,35,35,9,9,1,1,True,,,,,,,,,
figure_4,caption,baseline,Research Domains,S5T003,Environment & Agriculture,excluded_label_fp_fn,,Environment & Agriculture,,,,,,,R,N,,not applicable for exported counts,150 records,150,records,RARE,False,,4,4,10,10,6,6,0,0,False,,,,,,,,,
figure_4,plotted,baseline,Research Domains,S5T003,Health & Social Care,label_counts,,Health & Social Care,,,,,,,R,N,,not applicable for exported counts,150 records,150,records,LOW SUPPORT,True,,23,23,25,25,3,3,1,1,True,,,,,,,,,
figure_4,caption,baseline,Research Domains,S5T003,Housing & Planning,excluded_label_fp_fn,,Housing & Planning,,,,,,,R,N,,not applicable for exported counts,150 records,150,records,RARE,False,,0,0,1,1,1,1,0,0,False,,,,,,,,,
figure_4,plotted,baseline,Research Domains,S5T003,Labour Market & Employment,label_counts,,Labour Market & Employment,,,,,,,R,N,,not applicable for exported counts,150 records,150,records,STANDARD,False,,39,39,56,56,21,21,4,4,True,,,,,,,,,
figure_4,caption,baseline,Research Domains,S5T003,Migration & Demographics,excluded_label_fp_fn,,Migration & Demographics,,,,,,,R,N,,not applicable for exported counts,150 records,150,records,RARE,False,,9,9,6,6,2,2,5,5,False,,,,,,,,,
figure_4,plotted,baseline,Research Domains,S5T003,"Poverty, Wealth & Living Standards",label_counts,,"Poverty, Wealth & Living Standards",,,,,,,R,N,,not applicable for exported counts,150 records,150,records,LOW SUPPORT,True,,11,11,10,10,4,4,5,5,True,,,,,,,,,
figure_4,caption,baseline,Research Domains,S5T003,Public Finance & Taxation,excluded_label_fp_fn,,Public Finance & Taxation,,,,,,,R,N,,not applicable for exported counts,150 records,150,records,RARE,False,,2,2,2,2,0,0,0,0,False,,,,,,,,,
figure_4,plotted,baseline,Research Domains,S5T003,Unclear from Register Entry,label_counts,,Unclear from Register Entry,,,,,,,R,N,,not applicable for exported counts,150 records,150,records,LOW SUPPORT,True,,13,13,1,1,0,0,12,12,True,,,,,,,,,
figure_4,plotted,baseline,Analytical Purposes,S5T004,Descriptive Monitoring,label_counts,,Descriptive Monitoring,,,,,,,R,N,,not applicable for exported counts,150 records,150,records,STANDARD,False,,36,36,52,52,26,26,10,10,True,,,,,,,,,
figure_4,caption,baseline,Analytical Purposes,S5T004,Life-Course / Trajectory Analysis,excluded_label_fp_fn,,Life-Course / Trajectory Analysis,,,,,,,R,N,,not applicable for exported counts,150 records,150,records,RARE,False,,9,9,11,11,8,8,6,6,False,,,,,,,,,
figure_4,caption,baseline,Analytical Purposes,S5T004,Methodological / Infrastructure Research,excluded_label_fp_fn,,Methodological / Infrastructure Research,,,,,,,R,N,,not applicable for exported counts,150 records,150,records,RARE,False,,7,7,10,10,5,5,2,2,False,,,,,,,,,
figure_4,plotted,baseline,Analytical Purposes,S5T004,Outcome Tracking,label_counts,,Outcome Tracking,,,,,,,R,N,,not applicable for exported counts,150 records,150,records,LOW SUPPORT,True,,19,19,47,47,34,34,6,6,True,,,,,,,,,
figure_4,plotted,baseline,Analytical Purposes,S5T004,Policy Evaluation / Impact Analysis,label_counts,,Policy Evaluation / Impact Analysis,,,,,,,R,N,,not applicable for exported counts,150 records,150,records,STANDARD,False,,30,30,33,33,12,12,9,9,True,,,,,,,,,
figure_4,caption,baseline,Analytical Purposes,S5T004,Risk Prediction / Early Identification,excluded_label_fp_fn,,Risk Prediction / Early Identification,,,,,,,R,N,,not applicable for exported counts,150 records,150,records,RARE,False,,1,1,2,2,1,1,0,0,False,,,,,,,,,
figure_4,caption,baseline,Analytical Purposes,S5T004,Service Interaction / Systems Analysis,excluded_label_fp_fn,,Service Interaction / Systems Analysis,,,,,,,R,N,,not applicable for exported counts,150 records,150,records,RARE,False,,1,1,4,4,3,3,0,0,False,,,,,,,,,
figure_4,plotted,baseline,Analytical Purposes,S5T004,Unclear from Register Entry,label_counts,,Unclear from Register Entry,,,,,,,R,N,,not applicable for exported counts,150 records,150,records,LOW SUPPORT,True,,26,26,1,1,0,0,25,25,True,,,,,,,,,
