deliverable_id,role,population,dimension,label,source_order,series,quantity,pair,source_file,source_table_id,source_section,source_row_key,source_column_locator,source_value_string,parsed_value,interval_lower_string,parsed_interval_lower,interval_upper_string,parsed_interval_upper,estimate_status,interval_status,original_status_string,interval_method,confidence_level,denominator_string,sample_size,denominator_unit,support_string,support_band,exported_caution,eligible_for_per_label_performance,eligible_for_macro_average,performance_metrics_reportable,unavailable_reason,presentation_note
Supplementary Table S1,tabulated,baseline,Sufficiency,Sufficient,1,Part A,count,,analysis/scratch_coder_results/results.md,S8T003,S8,Sufficient,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,92,92,,,,,R,N,R/N,,,150 records,150,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,baseline,Sufficiency,Sufficient,1,Part A,proportion,,analysis/scratch_coder_results/results.md,S8T003,S8,Sufficient,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.6133333333333333,0.6133333333333333,0.5334979124018292,0.5334979124018292,0.6875088322080735,0.6875088322080735,R,R,R/R; wilson_score; confidence 95%; reused from strict-sufficiency result; source analysis/outputs_validation_scratch_20260824/sufficiency_subset_summary.csv,wilson_score,95%,150 records,150,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,baseline,Sufficiency,Partially sufficient,2,Part A,count,,analysis/scratch_coder_results/results.md,S8T003,S8,Partially sufficient,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,55,55,,,,,R,N,R/N,,,150 records,150,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,baseline,Sufficiency,Partially sufficient,2,Part A,proportion,,analysis/scratch_coder_results/results.md,S8T003,S8,Partially sufficient,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.36666666666666664,0.36666666666666664,0.2937744456533283,0.2937744456533283,0.44621761951149214,0.44621761951149214,R,R,R/R; wilson_score; confidence 95%; supplementary Wilson 95%; calculated 2026-09-07T14:24:27.146711+00:00; source analysis/outputs_validation_wilson_baseline_20260907T142427225531Z/wilson_intervals.csv,wilson_score,95%,150 records,150,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,baseline,Sufficiency,Insufficient,3,Part A,count,,analysis/scratch_coder_results/results.md,S8T003,S8,Insufficient,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,2,2,,,,,R,N,R/N,,,150 records,150,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,baseline,Sufficiency,Insufficient,3,Part A,proportion,,analysis/scratch_coder_results/results.md,S8T003,S8,Insufficient,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.013333333333333334,0.013333333333333334,0.0036641291512270503,0.0036641291512270503,0.04730690870036751,0.04730690870036751,R,R,R/R; wilson_score; confidence 95%; supplementary Wilson 95%; calculated 2026-09-07T14:24:27.146711+00:00; source analysis/outputs_validation_wilson_baseline_20260907T142427225531Z/wilson_intervals.csv,wilson_score,95%,150 records,150,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,baseline,Sufficiency,No majority / split judgement,4,Part A,count,,analysis/scratch_coder_results/results.md,S8T003,S8,No majority / split judgement,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,1,1,,,,,R,N,R/N,,,150 records,150,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,baseline,Sufficiency,No majority / split judgement,4,Part A,proportion,,analysis/scratch_coder_results/results.md,S8T003,S8,No majority / split judgement,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.006666666666666667,0.006666666666666667,0.0011778013350174366,0.0011778013350174366,0.03679283977481815,0.03679283977481815,R,R,R/R; wilson_score; confidence 95%; supplementary Wilson 95%; calculated 2026-09-07T14:24:27.146711+00:00; source analysis/outputs_validation_wilson_baseline_20260907T142427225531Z/wilson_intervals.csv,wilson_score,95%,150 records,150,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,hard_case,Sufficiency,Sufficient,1,Part A,count,,analysis/scratch_coder_results/results.md,S8T004,S8,Sufficient,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,42,42,,,,,R,N,R/N,,,75 records,75,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,hard_case,Sufficiency,Sufficient,1,Part A,proportion,,analysis/scratch_coder_results/results.md,S8T004,S8,Sufficient,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.56,0.56,,,,,R,A,R/A,,,75 records,75,records,,,,,,,Interval unavailable in the source.,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,hard_case,Sufficiency,Partially sufficient,2,Part A,count,,analysis/scratch_coder_results/results.md,S8T004,S8,Partially sufficient,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,30,30,,,,,R,N,R/N,,,75 records,75,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,hard_case,Sufficiency,Partially sufficient,2,Part A,proportion,,analysis/scratch_coder_results/results.md,S8T004,S8,Partially sufficient,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.4,0.4,,,,,R,A,R/A,,,75 records,75,records,,,,,,,Interval unavailable in the source.,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,hard_case,Sufficiency,Insufficient,3,Part A,count,,analysis/scratch_coder_results/results.md,S8T004,S8,Insufficient,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0,0,,,,,R,N,R/N,,,75 records,75,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,hard_case,Sufficiency,Insufficient,3,Part A,proportion,,analysis/scratch_coder_results/results.md,S8T004,S8,Insufficient,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.0,0.0,,,,,R,A,R/A,,,75 records,75,records,,,,,,,Interval unavailable in the source.,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,hard_case,Sufficiency,No majority / split judgement,4,Part A,count,,analysis/scratch_coder_results/results.md,S8T004,S8,No majority / split judgement,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,3,3,,,,,R,N,R/N,,,75 records,75,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,hard_case,Sufficiency,No majority / split judgement,4,Part A,proportion,,analysis/scratch_coder_results/results.md,S8T004,S8,No majority / split judgement,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.04,0.04,,,,,R,A,R/A,,,75 records,75,records,,,,,,,Interval unavailable in the source.,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,baseline,Taxonomy fit,Fit,1,Part A,count,,analysis/scratch_coder_results/results.md,S9T003,S9,Fit,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,119,119,,,,,R,N,R/N,,,150 records,150,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,baseline,Taxonomy fit,Fit,1,Part A,proportion,,analysis/scratch_coder_results/results.md,S9T003,S9,Fit,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.7933333333333333,0.7933333333333333,0.7216063981873552,0.7216063981873552,0.8504110584500398,0.8504110584500398,R,R,R/R; wilson_score; confidence 95%; supplementary Wilson 95%; calculated 2026-09-07T14:24:27.146711+00:00; source analysis/outputs_validation_wilson_baseline_20260907T142427225531Z/wilson_intervals.csv,wilson_score,95%,150 records,150,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,baseline,Taxonomy fit,Partial Fit,2,Part A,count,,analysis/scratch_coder_results/results.md,S9T003,S9,Partial Fit,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,12,12,,,,,R,N,R/N,,,150 records,150,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,baseline,Taxonomy fit,Partial Fit,2,Part A,proportion,,analysis/scratch_coder_results/results.md,S9T003,S9,Partial Fit,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.08,0.08,0.04635364151865291,0.04635364151865291,0.13462136375053146,0.13462136375053146,R,R,R/R; wilson_score; confidence 95%; supplementary Wilson 95%; calculated 2026-09-07T14:24:27.146711+00:00; source analysis/outputs_validation_wilson_baseline_20260907T142427225531Z/wilson_intervals.csv,wilson_score,95%,150 records,150,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,baseline,Taxonomy fit,No Fit,3,Part A,count,,analysis/scratch_coder_results/results.md,S9T003,S9,No Fit,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0,0,,,,,R,N,R/N,,,150 records,150,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,baseline,Taxonomy fit,No Fit,3,Part A,proportion,,analysis/scratch_coder_results/results.md,S9T003,S9,No Fit,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.0,0.0,0.0,0.0,0.0249702443680766,0.0249702443680766,R,R,R/R; wilson_score; confidence 95%; supplementary Wilson 95%; calculated 2026-09-07T14:24:27.146711+00:00; source analysis/outputs_validation_wilson_baseline_20260907T142427225531Z/wilson_intervals.csv,wilson_score,95%,150 records,150,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,baseline,Taxonomy fit,Cannot assess from register entry,4,Part A,count,,analysis/scratch_coder_results/results.md,S9T003,S9,Cannot assess from register entry,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,6,6,,,,,R,N,R/N,,,150 records,150,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
