figure_id,role,population,dimension,source_table_id,source_row_key,quantity,series,label,source_value_string,plot_value,interval_lower_string,interval_lower,interval_upper_string,interval_upper,estimate_status,interval_status,interval_method,confidence_level_wording,sample_size_string,sample_size,sample_unit,support_band,exported_caution,unavailable_reason,human_majority_positive_n_string,human_majority_positive_n,model_positive_n_string,model_positive_n,fp_string,fp,fn_string,fn,performance_metrics_reportable,pair_family,relation,eligible_pairs_string,eligible_pairs,pair_count_string,pair_count,empty_set_pairs_string,empty_set_pairs,nonempty_proportion_status
figure_5,unavailable,baseline,Analytical Purposes,disagreement_type_distribution.csv,model_human:exactly_one_empty,exactly_one_empty,relation_proportion,,,,,,,,N,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,Proportion status is not_applicable; source does not report a plottable proportion.,,,,,,,,,,model_human,exactly_one_empty,270,270,0,0,0,0,not_applicable
figure_5,unavailable,baseline,Analytical Purposes,disagreement_type_distribution.csv,model_human:identical,identical,relation_proportion,,,,,,,,N,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,Proportion status is not_applicable; source does not report a plottable proportion.,,,,,,,,,,model_human,identical,270,270,180,180,0,0,not_applicable
figure_5,plotted,baseline,Analytical Purposes,disagreement_type_distribution.csv,model_human:containment,containment,relation_proportion,,0.14814814814814814,0.14814814814814814,,,,,R,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,,,,,,,,,,,model_human,containment,270,270,40,40,0,0,reported
figure_5,plotted,baseline,Analytical Purposes,disagreement_type_distribution.csv,model_human:overlap,overlap,relation_proportion,,0.014814814814814815,0.014814814814814815,,,,,R,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,,,,,,,,,,,model_human,overlap,270,270,4,4,0,0,reported
figure_5,plotted,baseline,Analytical Purposes,disagreement_type_distribution.csv,model_human:disjoint,disjoint,relation_proportion,,0.83703703703703702,0.83703703703703702,,,,,R,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,,,,,,,,,,,model_human,disjoint,270,270,226,226,0,0,reported
figure_5,unavailable,baseline,Joint cross-cutting tag set,disagreement_type_distribution.csv,human_human:both_empty,both_empty,relation_proportion,,,,,,,,N,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,Proportion status is not_applicable; source does not report a plottable proportion.,,,,,,,,,,human_human,both_empty,7,7,365,365,395,395,not_applicable
figure_5,unavailable,baseline,Joint cross-cutting tag set,disagreement_type_distribution.csv,human_human:exactly_one_empty,exactly_one_empty,relation_proportion,,,,,,,,N,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,Proportion status is not_applicable; source does not report a plottable proportion.,,,,,,,,,,human_human,exactly_one_empty,7,7,30,30,395,395,not_applicable
figure_5,unavailable,baseline,Joint cross-cutting tag set,disagreement_type_distribution.csv,human_human:identical,identical,relation_proportion,,,,,,,,N,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,Proportion status is not_applicable; source does not report a plottable proportion.,,,,,,,,,,human_human,identical,7,7,48,48,395,395,not_applicable
figure_5,plotted,baseline,Joint cross-cutting tag set,disagreement_type_distribution.csv,human_human:containment,containment,relation_proportion,,0.8571428571428571,0.8571428571428571,,,,,R,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,,,,,,,,,,,human_human,containment,7,7,6,6,395,395,reported
figure_5,plotted,baseline,Joint cross-cutting tag set,disagreement_type_distribution.csv,human_human:overlap,overlap,relation_proportion,,0,0,,,,,R,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,,,,,,,,,,,human_human,overlap,7,7,0,0,395,395,reported
figure_5,plotted,baseline,Joint cross-cutting tag set,disagreement_type_distribution.csv,human_human:disjoint,disjoint,relation_proportion,,0.14285714285714285,0.14285714285714285,,,,,R,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,,,,,,,,,,,human_human,disjoint,7,7,1,1,395,395,reported
figure_5,unavailable,baseline,Joint cross-cutting tag set,disagreement_type_distribution.csv,model_human:both_empty,both_empty,relation_proportion,,,,,,,,N,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,Proportion status is not_applicable; source does not report a plottable proportion.,,,,,,,,,,model_human,both_empty,6,6,346,346,391,391,not_applicable
figure_5,unavailable,baseline,Joint cross-cutting tag set,disagreement_type_distribution.csv,model_human:exactly_one_empty,exactly_one_empty,relation_proportion,,,,,,,,N,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,Proportion status is not_applicable; source does not report a plottable proportion.,,,,,,,,,,model_human,exactly_one_empty,6,6,45,45,391,391,not_applicable
figure_5,unavailable,baseline,Joint cross-cutting tag set,disagreement_type_distribution.csv,model_human:identical,identical,relation_proportion,,,,,,,,N,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,Proportion status is not_applicable; source does not report a plottable proportion.,,,,,,,,,,model_human,identical,6,6,53,53,391,391,not_applicable
figure_5,plotted,baseline,Joint cross-cutting tag set,disagreement_type_distribution.csv,model_human:containment,containment,relation_proportion,,0.83333333333333337,0.83333333333333337,,,,,R,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,,,,,,,,,,,model_human,containment,6,6,5,5,391,391,reported
figure_5,plotted,baseline,Joint cross-cutting tag set,disagreement_type_distribution.csv,model_human:overlap,overlap,relation_proportion,,0,0,,,,,R,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,,,,,,,,,,,model_human,overlap,6,6,0,0,391,391,reported
figure_5,plotted,baseline,Joint cross-cutting tag set,disagreement_type_distribution.csv,model_human:disjoint,disjoint,relation_proportion,,0.16666666666666666,0.16666666666666666,,,,,R,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,,,,,,,,,,,model_human,disjoint,6,6,1,1,391,391,reported
