domain,count
Labour Market & Employment,454
Business & Productivity,380
Health & Social Care,270
Education & Skills,263
"Poverty, Wealth & Living Standards",97
Crime & Justice,81
Data Infrastructure & Methodology,80
Environment & Agriculture,79
Migration & Demographics,72
Housing & Planning,47
Public Finance & Taxation,32
Unclear from Register Entry,2
