purpose,count
Outcome Tracking,498
Descriptive Monitoring,436
Policy Evaluation / Impact Analysis,264
Methodological / Infrastructure Research,124
Life-Course / Trajectory Analysis,100
Service Interaction / Systems Analysis,36
Risk Prediction / Early Identification,13
Unclear from Register Entry,6
