Response,"Baseline, n=150: n (%) [95% interval]","Hard-case (diagnostic), n=75: n (%)"
Sufficient,"92 (61%) [53%, 69%]",42 (56%)
Partially sufficient,"55 (37%) [29%, 45%]",30 (40%)
Insufficient,"2 (1%) [<1%, 5%]",0 (0%)
No majority,"1 (1%) [<1%, 4%]",3 (4%)
