Response,"Baseline, n=150: n (%) [95% interval]","Hard-case, n=75: n (%)"
Fit,"119 (79.33%) [72.16%, 85.04%]",54 (72.00%)
Partial Fit,"12 (8.00%) [4.64%, 13.46%]",11 (14.67%)
No Fit,"0 (0.00%) [0.00%, 2.50%]",0 (0.00%)
Cannot assess from register entry,"6 (4.00%) [1.85%, 8.45%]",1 (1.33%)
No majority / split judgement,"13 (8.67%) [5.13%, 14.26%]",9 (12.00%)
