dimension,pair_family,all_nonidentical_pairs,eligible_records,empty_set_involved_pairs,nonidentical_nonempty_pairs,total_pairs_classified,containment_count_string,containment_count,containment_proportion_string,containment_proportion,containment_proportion_status,overlap_count_string,overlap_count,overlap_proportion_string,overlap_proportion,overlap_proportion_status,disjoint_count_string,disjoint_count,disjoint_proportion_string,disjoint_proportion,disjoint_proportion_status,both_empty_count_string,both_empty_count,both_empty_proportion_string,both_empty_proportion,both_empty_proportion_status,exactly_one_empty_count_string,exactly_one_empty_count,exactly_one_empty_proportion_string,exactly_one_empty_proportion,exactly_one_empty_proportion_status,overlap_structural_zero_note
Research Domains,human_human,220,150,0,220,450,105,105,0.47727272727272729,0.47727272727272729,reported,11,11,0.050000000000000003,0.050000000000000003,reported,104,104,0.47272727272727272,0.47272727272727272,reported,0,0,,,not_applicable,0,0,,,not_applicable,
Research Domains,model_human,199,150,0,199,450,103,103,0.51758793969849248,0.51758793969849248,reported,16,16,0.080402010050251257,0.080402010050251257,reported,80,80,0.4020100502512563,0.4020100502512563,reported,0,0,,,not_applicable,0,0,,,not_applicable,
Analytical Purposes,human_human,272,150,0,272,450,38,38,0.13970588235294118,0.13970588235294118,reported,1,1,0.0036764705882352941,0.0036764705882352941,reported,233,233,0.85661764705882348,0.85661764705882348,reported,0,0,,,not_applicable,0,0,,,not_applicable,
Analytical Purposes,model_human,270,150,0,270,450,40,40,0.14814814814814814,0.14814814814814814,reported,4,4,0.014814814814814815,0.014814814814814815,reported,226,226,0.83703703703703702,0.83703703703703702,reported,0,0,,,not_applicable,0,0,,,not_applicable,
Joint cross-cutting tag set,human_human,37,150,395,7,450,6,6,0.8571428571428571,0.8571428571428571,reported,0,0,0,0,reported,1,1,0.14285714285714285,0.14285714285714285,reported,365,365,,,not_applicable,30,30,,,not_applicable,structurally impossible under this two-label relation definition
Joint cross-cutting tag set,model_human,51,150,391,6,450,5,5,0.83333333333333337,0.83333333333333337,reported,0,0,0,0,reported,1,1,0.16666666666666666,0.16666666666666666,reported,346,346,,,not_applicable,45,45,,,not_applicable,structurally impossible under this two-label relation definition
