Population and dimension,No agreed label,Agreed only on Unclear,1 substantive label,2 substantive labels,3 substantive labels
"Baseline, n=150 — Research Domains",5 (3%),13 (9%),107 (71%),22 (15%),3 (2%)
"Baseline, n=150 — Analytical Purposes",24 (16%),26 (17%),97 (65%),3 (2%),0 (0%)
"Hard-case (diagnostic), n=75 — Research Domains",6 (8%),3 (4%),45 (60%),18 (24%),3 (4%)
"Hard-case (diagnostic), n=75 — Analytical Purposes",9 (12%),20 (27%),42 (56%),4 (5%),0 (0%)
