primary_domain,Descriptive Monitoring,Life-Course / Trajectory Analysis,Methodological / Infrastructure Research,Outcome Tracking,Policy Evaluation / Impact Analysis,Risk Prediction / Early Identification,Service Interaction / Systems Analysis
Business & Productivity,90,0,15,117,101,2,0
Education & Skills,38,35,2,72,26,4,0
Health & Social Care,45,9,3,87,16,7,11
Labour Market & Employment,114,27,8,108,41,0,0
Migration & Demographics,27,8,6,14,5,0,1
"Poverty, Wealth & Living Standards",29,3,4,7,8,1,0
