domain,count
Labour Market & Employment,442
Business & Productivity,368
Education & Skills,250
Health & Social Care,233
"Poverty, Wealth & Living Standards",97
Migration & Demographics,86
Environment & Agriculture,84
COVID-19 & Pandemic,78
Crime & Justice,78
Data Infrastructure & Methodology,44
Housing & Planning,41
Public Finance & Taxation,32
Unclear from Register Entry,3
