primary_domain,Cross-Domain Linkage,Single-Dataset,Within-Domain Linkage
Business & Productivity,78,68,172
Education & Skills,77,73,22
Health & Social Care,64,85,18
Labour Market & Employment,105,92,92
Migration & Demographics,8,41,10
"Poverty, Wealth & Living Standards",14,25,10
