purpose,count
Outcome Tracking,461
Descriptive Monitoring,411
Policy Evaluation / Impact Analysis,241
Life-Course / Trajectory Analysis,90
Methodological / Infrastructure Research,66
Service Interaction / Systems Analysis,24
Risk Prediction / Early Identification,20
Unclear from Register Entry,3
