dimension,group,n,alpha_abc,ci_lower,ci_upper
Analytical Purposes,full,150,0.2921101465494058,0.2266453891740095,0.35697722747023447
Analytical Purposes,exposed,31,0.2623514899694863,0.11722979719941094,0.39760927074908264
Analytical Purposes,unexposed,119,0.2944713740416882,0.22125960308623044,0.3679282711086398
Analytical Purposes,delta_enrichment,,-0.0321198840722019,-0.198295764981078,0.11951212618015204
