dimension,state,group,n,count,proportion,ci_lower,ci_upper
Research Domains,S1,exposed,31,2,0.06451612903225806,0.0,0.16666666666666666
Research Domains,S1,unexposed,119,48,0.40336134453781514,0.3140495867768595,0.49166666666666664
Research Domains,S2,exposed,31,22,0.7096774193548387,0.5405405405405406,0.8636363636363636
Research Domains,S2,unexposed,119,60,0.5042016806722689,0.4107028388278388,0.5948275862068966
Research Domains,S3,exposed,31,6,0.1935483870967742,0.06451612903225806,0.3448275862068966
Research Domains,S3,unexposed,119,7,0.058823529411764705,0.01694915254237288,0.10434782608695652
Research Domains,S4,exposed,31,1,0.03225806451612903,0.0,0.10714285714285714
Research Domains,S4,unexposed,119,4,0.03361344537815126,0.008130081300813009,0.06896551724137931
