dimension,state,group,n,count,proportion,ci_lower,ci_upper
Analytical Purposes,S1,exposed,31,4,0.12903225806451613,0.030280748663101608,0.26666666666666666
Analytical Purposes,S1,unexposed,119,23,0.19327731092436976,0.125,0.26668103448275854
Analytical Purposes,S2,exposed,31,13,0.41935483870967744,0.24,0.5926426426426423
Analytical Purposes,S2,unexposed,119,60,0.5042016806722689,0.4180327868852459,0.5935292262405382
Analytical Purposes,S3,exposed,31,8,0.25806451612903225,0.1111111111111111,0.41935483870967744
Analytical Purposes,S3,unexposed,119,18,0.15126050420168066,0.09166666666666666,0.2184873949579832
Analytical Purposes,S4,exposed,31,6,0.1935483870967742,0.06661290322580646,0.3333333333333333
Analytical Purposes,S4,unexposed,119,18,0.15126050420168066,0.08928571428571429,0.21311475409836064
