dimension,indicator,group,n,count,rate,ci_lower,ci_upper
Analytical Purposes,unclear_only_S3,exposed,31,8,0.25806451612903225,0.1111111111111111,0.41935483870967744
Analytical Purposes,unclear_only_S3,unexposed,119,18,0.15126050420168066,0.09166666666666666,0.2184873949579832
Analytical Purposes,no_agreed_label_S4,exposed,31,6,0.1935483870967742,0.06661290322580646,0.3333333333333333
Analytical Purposes,no_agreed_label_S4,unexposed,119,18,0.15126050420168066,0.08928571428571429,0.21311475409836064
