deliverable_id,role,population,dimension,label,source_order,series,quantity,pair,source_file,source_table_id,source_section,source_row_key,source_column_locator,source_value_string,parsed_value,interval_lower_string,parsed_interval_lower,interval_upper_string,parsed_interval_upper,estimate_status,interval_status,original_status_string,interval_method,confidence_level,denominator_string,sample_size,denominator_unit,support_string,support_band,exported_caution,eligible_for_per_label_performance,eligible_for_macro_average,performance_metrics_reportable,unavailable_reason,presentation_note,derivation_id,derivation_operands,row_group,display_percent
Supplementary Table S2,tabulated,baseline,Analytical Purposes,,,human_human,both_empty,,analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv,disagreement_type_distribution.csv,baseline distribution,baseline|Analytical Purposes|human_human|both_empty,count; proportion_of_nonidentical_nonempty_pairs; denominators; empty_set_involved_pairs,0,0,,,,,R,not_applicable,not_applicable,,,272,150,pair units,,,,,,,Proportion not applicable to this relation.,"{""all_nonidentical_pairs"": ""272"", ""eligible_records"": ""150"", ""empty_set_involved_pairs"": ""0"", ""nonidentical_nonempty_pairs"": ""272"", ""total_pairs_classified"": ""450""}",,,,
Supplementary Table S2,tabulated,baseline,Analytical Purposes,,,human_human,exactly_one_empty,,analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv,disagreement_type_distribution.csv,baseline distribution,baseline|Analytical Purposes|human_human|exactly_one_empty,count; proportion_of_nonidentical_nonempty_pairs; denominators; empty_set_involved_pairs,0,0,,,,,R,not_applicable,not_applicable,,,272,150,pair units,,,,,,,Proportion not applicable to this relation.,"{""all_nonidentical_pairs"": ""272"", ""eligible_records"": ""150"", ""empty_set_involved_pairs"": ""0"", ""nonidentical_nonempty_pairs"": ""272"", ""total_pairs_classified"": ""450""}",,,,
Supplementary Table S2,tabulated,baseline,Analytical Purposes,,,human_human,containment,,analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv,disagreement_type_distribution.csv,baseline distribution,baseline|Analytical Purposes|human_human|containment,count; proportion_of_nonidentical_nonempty_pairs; denominators; empty_set_involved_pairs,38,38,0.13970588235294118,0.13970588235294118,,,R,reported,reported,,,272,150,pair units,,,,,,,,"{""all_nonidentical_pairs"": ""272"", ""eligible_records"": ""150"", ""empty_set_involved_pairs"": ""0"", ""nonidentical_nonempty_pairs"": ""272"", ""total_pairs_classified"": ""450""}",,,,14
Supplementary Table S2,tabulated,baseline,Analytical Purposes,,,human_human,overlap,,analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv,disagreement_type_distribution.csv,baseline distribution,baseline|Analytical Purposes|human_human|overlap,count; proportion_of_nonidentical_nonempty_pairs; denominators; empty_set_involved_pairs,1,1,0.0036764705882352941,0.0036764705882352941,,,R,reported,reported,,,272,150,pair units,,,,,,,,"{""all_nonidentical_pairs"": ""272"", ""eligible_records"": ""150"", ""empty_set_involved_pairs"": ""0"", ""nonidentical_nonempty_pairs"": ""272"", ""total_pairs_classified"": ""450""}",,,,0
Supplementary Table S2,tabulated,baseline,Analytical Purposes,,,human_human,disjoint,,analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv,disagreement_type_distribution.csv,baseline distribution,baseline|Analytical Purposes|human_human|disjoint,count; proportion_of_nonidentical_nonempty_pairs; denominators; empty_set_involved_pairs,233,233,0.85661764705882348,0.85661764705882348,,,R,reported,reported,,,272,150,pair units,,,,,,,,"{""all_nonidentical_pairs"": ""272"", ""eligible_records"": ""150"", ""empty_set_involved_pairs"": ""0"", ""nonidentical_nonempty_pairs"": ""272"", ""total_pairs_classified"": ""450""}",,,,86
Supplementary Table S2,tabulated,baseline,Analytical Purposes,,,model_human,both_empty,,analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv,disagreement_type_distribution.csv,baseline distribution,baseline|Analytical Purposes|model_human|both_empty,count; proportion_of_nonidentical_nonempty_pairs; denominators; empty_set_involved_pairs,0,0,,,,,R,not_applicable,not_applicable,,,270,150,pair units,,,,,,,Proportion not applicable to this relation.,"{""all_nonidentical_pairs"": ""270"", ""eligible_records"": ""150"", ""empty_set_involved_pairs"": ""0"", ""nonidentical_nonempty_pairs"": ""270"", ""total_pairs_classified"": ""450""}",,,,
Supplementary Table S2,tabulated,baseline,Analytical Purposes,,,model_human,exactly_one_empty,,analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv,disagreement_type_distribution.csv,baseline distribution,baseline|Analytical Purposes|model_human|exactly_one_empty,count; proportion_of_nonidentical_nonempty_pairs; denominators; empty_set_involved_pairs,0,0,,,,,R,not_applicable,not_applicable,,,270,150,pair units,,,,,,,Proportion not applicable to this relation.,"{""all_nonidentical_pairs"": ""270"", ""eligible_records"": ""150"", ""empty_set_involved_pairs"": ""0"", ""nonidentical_nonempty_pairs"": ""270"", ""total_pairs_classified"": ""450""}",,,,
Supplementary Table S2,tabulated,baseline,Analytical Purposes,,,model_human,containment,,analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv,disagreement_type_distribution.csv,baseline distribution,baseline|Analytical Purposes|model_human|containment,count; proportion_of_nonidentical_nonempty_pairs; denominators; empty_set_involved_pairs,40,40,0.14814814814814814,0.14814814814814814,,,R,reported,reported,,,270,150,pair units,,,,,,,,"{""all_nonidentical_pairs"": ""270"", ""eligible_records"": ""150"", ""empty_set_involved_pairs"": ""0"", ""nonidentical_nonempty_pairs"": ""270"", ""total_pairs_classified"": ""450""}",,,,15
Supplementary Table S2,tabulated,baseline,Analytical Purposes,,,model_human,overlap,,analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv,disagreement_type_distribution.csv,baseline distribution,baseline|Analytical Purposes|model_human|overlap,count; proportion_of_nonidentical_nonempty_pairs; denominators; empty_set_involved_pairs,4,4,0.014814814814814815,0.014814814814814815,,,R,reported,reported,,,270,150,pair units,,,,,,,,"{""all_nonidentical_pairs"": ""270"", ""eligible_records"": ""150"", ""empty_set_involved_pairs"": ""0"", ""nonidentical_nonempty_pairs"": ""270"", ""total_pairs_classified"": ""450""}",,,,1
Supplementary Table S2,tabulated,baseline,Analytical Purposes,,,model_human,disjoint,,analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv,disagreement_type_distribution.csv,baseline distribution,baseline|Analytical Purposes|model_human|disjoint,count; proportion_of_nonidentical_nonempty_pairs; denominators; empty_set_involved_pairs,226,226,0.83703703703703702,0.83703703703703702,,,R,reported,reported,,,270,150,pair units,,,,,,,,"{""all_nonidentical_pairs"": ""270"", ""eligible_records"": ""150"", ""empty_set_involved_pairs"": ""0"", ""nonidentical_nonempty_pairs"": ""270"", ""total_pairs_classified"": ""450""}",,,,84
