deliverable_id,role,population,dimension,label,source_order,series,quantity,pair,source_file,source_table_id,source_section,source_row_key,source_column_locator,source_value_string,parsed_value,interval_lower_string,parsed_interval_lower,interval_upper_string,parsed_interval_upper,estimate_status,interval_status,original_status_string,interval_method,confidence_level,denominator_string,sample_size,denominator_unit,support_string,support_band,exported_caution,eligible_for_per_label_performance,eligible_for_macro_average,performance_metrics_reportable,unavailable_reason,presentation_note,derivation_id,derivation_operands,row_group,display_percent
Figure 3,plotted,baseline,Analytical Purposes,,,alpha,alpha ABL,,analysis/scratch_coder_results/results.md,S3T002,S3,alpha ABL,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.35754042811994313,0.35754042811994313,0.2886426406123174,0.2886426406123174,0.4208494231896885,0.4208494231896885,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,150 records,150,records,,,,,,,,C01/C02/Fable 5,,,,
Figure 3,plotted,baseline,Analytical Purposes,,,delta,delta_A,,analysis/scratch_coder_results/results.md,S3T002,S3,delta_A,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,-0.016493292849379948,-0.016493292849379948,-0.06337903648234683,-0.06337903648234683,0.030864771560157517,0.030864771560157517,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,150 records,150,records,,,,,,,,LBC − ABC,,,,
Figure 3,plotted,baseline,Analytical Purposes,,,delta,delta_B,,analysis/scratch_coder_results/results.md,S3T002,S3,delta_B,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,-0.04266825138963548,-0.04266825138963548,-0.09007301341769156,-0.09007301341769156,0.004732355849434691,0.004732355849434691,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,150 records,150,records,,,,,,,,ALC − ABC,,,,
Figure 3,plotted,baseline,Analytical Purposes,,,delta,delta_C,,analysis/scratch_coder_results/results.md,S3T002,S3,delta_C,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.06543028157053765,0.06543028157053765,0.007164737080570046,0.007164737080570046,0.12509711575806076,0.12509711575806076,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,150 records,150,records,,,,,,,,ABL − ABC,,,,
Figure 3,plotted,baseline,Analytical Purposes,,,delta,delta_min,,analysis/scratch_coder_results/results.md,S3T002,S3,delta_min,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,-0.04266825138963548,-0.04266825138963548,-0.09028046253808193,-0.09028046253808193,-0.002141124278556386,-0.002141124278556386,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,150 records,150,records,,,,,,,,"minimum of delta_A, delta_B and delta_C; matching observed component(s): delta_B",,,,
Figure 3,plotted,baseline_strict_sufficient,Research Domains,,,alpha,alpha ABC,,analysis/scratch_coder_results/results.md,S3T011,S3,alpha ABC,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.5663369602187813,0.5663369602187813,0.49090646438835256,0.49090646438835256,0.6359000275628149,0.6359000275628149,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,92 records,92,records,,,,,,,,C01/C02/C03,,,,
Figure 3,plotted,baseline_strict_sufficient,Research Domains,,,alpha,alpha LBC,,analysis/scratch_coder_results/results.md,S3T011,S3,alpha LBC,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.6547241324289896,0.6547241324289896,0.5752260508873935,0.5752260508873935,0.7277676161404864,0.7277676161404864,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,92 records,92,records,,,,,,,,Fable 5/C02/C03,,,,
Figure 3,plotted,baseline_strict_sufficient,Research Domains,,,alpha,alpha ALC,,analysis/scratch_coder_results/results.md,S3T011,S3,alpha ALC,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.6080347444709928,0.6080347444709928,0.5322231249079037,0.5322231249079037,0.6760138124219164,0.6760138124219164,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,92 records,92,records,,,,,,,,C01/Fable 5/C03,,,,
Figure 3,plotted,baseline_strict_sufficient,Research Domains,,,alpha,alpha ABL,,analysis/scratch_coder_results/results.md,S3T011,S3,alpha ABL,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.6396448464570299,0.6396448464570299,0.566798087773282,0.566798087773282,0.7059374029509055,0.7059374029509055,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,92 records,92,records,,,,,,,,C01/C02/Fable 5,,,,
Figure 3,plotted,baseline_strict_sufficient,Research Domains,,,delta,delta_A,,analysis/scratch_coder_results/results.md,S3T011,S3,delta_A,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.08838717221020831,0.08838717221020831,0.03879544466630612,0.03879544466630612,0.14353782636161164,0.14353782636161164,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,92 records,92,records,,,,,,,,LBC − ABC,,,,
Figure 3,plotted,baseline_strict_sufficient,Research Domains,,,delta,delta_B,,analysis/scratch_coder_results/results.md,S3T011,S3,delta_B,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.04169778425221149,0.04169778425221149,0.001029436076326576,0.001029436076326576,0.08274402354610313,0.08274402354610313,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,92 records,92,records,,,,,,,,ALC − ABC,,,,
Figure 3,plotted,baseline_strict_sufficient,Research Domains,,,delta,delta_C,,analysis/scratch_coder_results/results.md,S3T011,S3,delta_C,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.07330788623824858,0.07330788623824858,0.02270586074072557,0.02270586074072557,0.1240244778297567,0.1240244778297567,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,92 records,92,records,,,,,,,,ABL − ABC,,,,
Figure 3,plotted,baseline_strict_sufficient,Research Domains,,,delta,delta_min,,analysis/scratch_coder_results/results.md,S3T011,S3,delta_min,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.04169778425221149,0.04169778425221149,0.0005992244570877603,0.0005992244570877603,0.07637533196699833,0.07637533196699833,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,92 records,92,records,,,,,,,,"minimum of delta_A, delta_B and delta_C; matching observed component(s): delta_B",,,,
Figure 3,plotted,baseline_strict_sufficient,Analytical Purposes,,,alpha,alpha ABC,,analysis/scratch_coder_results/results.md,S3T012,S3,alpha ABC,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.28850902356657826,0.28850902356657826,0.20743653990418506,0.20743653990418506,0.3661366091441877,0.3661366091441877,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,92 records,92,records,,,,,,,,C01/C02/C03,,,,
Figure 3,plotted,baseline_strict_sufficient,Analytical Purposes,,,alpha,alpha LBC,,analysis/scratch_coder_results/results.md,S3T012,S3,alpha LBC,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.3299339376703402,0.3299339376703402,0.23518469608272685,0.23518469608272685,0.4168532891872522,0.4168532891872522,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,92 records,92,records,,,,,,,,Fable 5/C02/C03,,,,
Figure 3,plotted,baseline_strict_sufficient,Analytical Purposes,,,alpha,alpha ALC,,analysis/scratch_coder_results/results.md,S3T012,S3,alpha ALC,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.30209892601258537,0.30209892601258537,0.2119790278535143,0.2119790278535143,0.38621998761833215,0.38621998761833215,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,92 records,92,records,,,,,,,,C01/Fable 5/C03,,,,
Figure 3,plotted,baseline_strict_sufficient,Analytical Purposes,,,alpha,alpha ABL,,analysis/scratch_coder_results/results.md,S3T012,S3,alpha ABL,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.39648866130212124,0.39648866130212124,0.3070772003230745,0.3070772003230745,0.4755680196783501,0.4755680196783501,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,92 records,92,records,,,,,,,,C01/C02/Fable 5,,,,
Figure 3,plotted,baseline_strict_sufficient,Analytical Purposes,,,delta,delta_A,,analysis/scratch_coder_results/results.md,S3T012,S3,delta_A,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.04142491410376192,0.04142491410376192,-0.010019950150015187,-0.010019950150015187,0.09569664332816348,0.09569664332816348,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,92 records,92,records,,,,,,,,LBC − ABC,,,,
Figure 3,plotted,baseline_strict_sufficient,Analytical Purposes,,,delta,delta_B,,analysis/scratch_coder_results/results.md,S3T012,S3,delta_B,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.013589902446007107,0.013589902446007107,-0.03496156313229823,-0.03496156313229823,0.06771894135342588,0.06771894135342588,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,92 records,92,records,,,,,,,,ALC − ABC,,,,
Figure 3,plotted,baseline_strict_sufficient,Analytical Purposes,,,delta,delta_C,,analysis/scratch_coder_results/results.md,S3T012,S3,delta_C,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.10797963773554298,0.10797963773554298,0.050754131917796166,0.050754131917796166,0.17049219725231762,0.17049219725231762,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,92 records,92,records,,,,,,,,ABL − ABC,,,,
Figure 3,plotted,baseline_strict_sufficient,Analytical Purposes,,,delta,delta_min,,analysis/scratch_coder_results/results.md,S3T012,S3,delta_min,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.013589902446007107,0.013589902446007107,-0.03496156313229823,-0.03496156313229823,0.058959806361075326,0.058959806361075326,R,R,R/R; bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,unresolved,92 records,92,records,,,,,,,,"minimum of delta_A, delta_B and delta_C; matching observed component(s): delta_B",,,,
