figure_id,role,population,dimension,source_table_id,source_row_key,quantity,series,label,source_value_string,plot_value,interval_lower_string,interval_lower,interval_upper_string,interval_upper,estimate_status,interval_status,interval_method,confidence_level_wording,sample_size_string,sample_size,sample_unit,support_band,exported_caution,unavailable_reason,human_majority_positive_n_string,human_majority_positive_n,model_positive_n_string,model_positive_n,fp_string,fp,fn_string,fn,performance_metrics_reportable,pair_family,relation,eligible_pairs_string,eligible_pairs,pair_count_string,pair_count,empty_set_pairs_string,empty_set_pairs,nonempty_proportion_status
figure_2,plotted,baseline_strict_sufficient,Research Domains,S3T011,alpha ABC,alpha ABC,alpha,,0.5663369602187813,0.5663369602187813,0.49090646438835256,0.49090646438835256,0.6359000275628149,0.6359000275628149,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,92 records,92,records,,,,,,,,,,,,,,,,,,,,,
figure_2,plotted,baseline_strict_sufficient,Research Domains,S3T011,alpha LBC,alpha LBC,alpha,,0.6547241324289896,0.6547241324289896,0.5752260508873935,0.5752260508873935,0.7277676161404864,0.7277676161404864,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,92 records,92,records,,,,,,,,,,,,,,,,,,,,,
figure_2,plotted,baseline_strict_sufficient,Research Domains,S3T011,alpha ALC,alpha ALC,alpha,,0.6080347444709928,0.6080347444709928,0.5322231249079037,0.5322231249079037,0.6760138124219164,0.6760138124219164,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,92 records,92,records,,,,,,,,,,,,,,,,,,,,,
figure_2,plotted,baseline_strict_sufficient,Research Domains,S3T011,alpha ABL,alpha ABL,alpha,,0.6396448464570299,0.6396448464570299,0.566798087773282,0.566798087773282,0.7059374029509055,0.7059374029509055,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,92 records,92,records,,,,,,,,,,,,,,,,,,,,,
figure_2,plotted,baseline_strict_sufficient,Research Domains,S3T011,delta_A,delta_A,delta,,0.08838717221020831,0.08838717221020831,0.03879544466630612,0.03879544466630612,0.14353782636161164,0.14353782636161164,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,92 records,92,records,,,,,,,,,,,,,,,,,,,,,
figure_2,plotted,baseline_strict_sufficient,Research Domains,S3T011,delta_B,delta_B,delta,,0.04169778425221149,0.04169778425221149,0.001029436076326576,0.001029436076326576,0.08274402354610313,0.08274402354610313,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,92 records,92,records,,,,,,,,,,,,,,,,,,,,,
figure_2,plotted,baseline_strict_sufficient,Research Domains,S3T011,delta_C,delta_C,delta,,0.07330788623824858,0.07330788623824858,0.02270586074072557,0.02270586074072557,0.1240244778297567,0.1240244778297567,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,92 records,92,records,,,,,,,,,,,,,,,,,,,,,
figure_2,plotted,baseline_strict_sufficient,Research Domains,S3T011,delta_min,delta_min,delta,,0.04169778425221149,0.04169778425221149,0.0005992244570877603,0.0005992244570877603,0.07637533196699833,0.07637533196699833,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,92 records,92,records,,,,,,,,,,,,,,,,,,,,,
figure_2,plotted,baseline_strict_sufficient,Analytical Purposes,S3T012,alpha ABC,alpha ABC,alpha,,0.28850902356657826,0.28850902356657826,0.20743653990418506,0.20743653990418506,0.3661366091441877,0.3661366091441877,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,92 records,92,records,,,,,,,,,,,,,,,,,,,,,
figure_2,plotted,baseline_strict_sufficient,Analytical Purposes,S3T012,alpha LBC,alpha LBC,alpha,,0.3299339376703402,0.3299339376703402,0.23518469608272685,0.23518469608272685,0.4168532891872522,0.4168532891872522,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,92 records,92,records,,,,,,,,,,,,,,,,,,,,,
figure_2,plotted,baseline_strict_sufficient,Analytical Purposes,S3T012,alpha ALC,alpha ALC,alpha,,0.30209892601258537,0.30209892601258537,0.2119790278535143,0.2119790278535143,0.38621998761833215,0.38621998761833215,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,92 records,92,records,,,,,,,,,,,,,,,,,,,,,
figure_2,plotted,baseline_strict_sufficient,Analytical Purposes,S3T012,alpha ABL,alpha ABL,alpha,,0.39648866130212124,0.39648866130212124,0.3070772003230745,0.3070772003230745,0.4755680196783501,0.4755680196783501,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,92 records,92,records,,,,,,,,,,,,,,,,,,,,,
figure_2,plotted,baseline_strict_sufficient,Analytical Purposes,S3T012,delta_A,delta_A,delta,,0.04142491410376192,0.04142491410376192,-0.010019950150015187,-0.010019950150015187,0.09569664332816348,0.09569664332816348,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,92 records,92,records,,,,,,,,,,,,,,,,,,,,,
figure_2,plotted,baseline_strict_sufficient,Analytical Purposes,S3T012,delta_B,delta_B,delta,,0.013589902446007107,0.013589902446007107,-0.03496156313229823,-0.03496156313229823,0.06771894135342588,0.06771894135342588,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,92 records,92,records,,,,,,,,,,,,,,,,,,,,,
figure_2,plotted,baseline_strict_sufficient,Analytical Purposes,S3T012,delta_C,delta_C,delta,,0.10797963773554298,0.10797963773554298,0.050754131917796166,0.050754131917796166,0.17049219725231762,0.17049219725231762,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,92 records,92,records,,,,,,,,,,,,,,,,,,,,,
figure_2,plotted,baseline_strict_sufficient,Analytical Purposes,S3T012,delta_min,delta_min,delta,,0.013589902446007107,0.013589902446007107,-0.03496156313229823,-0.03496156313229823,0.058959806361075326,0.058959806361075326,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,92 records,92,records,,,,,,,,,,,,,,,,,,,,,
figure_2,caption,baseline_broad_usable,Research Domains,S3T009,alpha ABC,alpha ABC,alpha,,0.5316242682222907,0.5316242682222907,0.4742689739057928,0.4742689739057928,0.58938605573692,0.58938605573692,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,148 records,148,records,,,,,,,,,,,,,,,,,,,,,
figure_2,caption,baseline_broad_usable,Research Domains,S3T009,alpha LBC,alpha LBC,alpha,,0.590468852526179,0.590468852526179,0.5267998456504601,0.5267998456504601,0.649907759448919,0.649907759448919,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,148 records,148,records,,,,,,,,,,,,,,,,,,,,,
figure_2,caption,baseline_broad_usable,Research Domains,S3T009,alpha ALC,alpha ALC,alpha,,0.5352511079402535,0.5352511079402535,0.4756507330047473,0.4756507330047473,0.5913619204434889,0.5913619204434889,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,148 records,148,records,,,,,,,,,,,,,,,,,,,,,
figure_2,caption,baseline_broad_usable,Research Domains,S3T009,alpha ABL,alpha ABL,alpha,,0.57993969675598,0.57993969675598,0.5203389411348798,0.5203389411348798,0.6354695354658131,0.6354695354658131,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,148 records,148,records,,,,,,,,,,,,,,,,,,,,,
figure_2,caption,baseline_broad_usable,Research Domains,S3T009,delta_A,delta_A,delta,,0.05884458430388828,0.05884458430388828,0.017821639319209652,0.017821639319209652,0.10205138761809902,0.10205138761809902,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,148 records,148,records,,,,,,,,,,,,,,,,,,,,,
figure_2,caption,baseline_broad_usable,Research Domains,S3T009,delta_B,delta_B,delta,,0.0036268397179628487,0.0036268397179628487,-0.03348631261670343,-0.03348631261670343,0.04089718810670513,0.04089718810670513,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,148 records,148,records,,,,,,,,,,,,,,,,,,,,,
figure_2,caption,baseline_broad_usable,Research Domains,S3T009,delta_C,delta_C,delta,,0.04831542853368931,0.04831542853368931,0.0011039914538756525,0.0011039914538756525,0.09510070351502234,0.09510070351502234,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,148 records,148,records,,,,,,,,,,,,,,,,,,,,,
figure_2,caption,baseline_broad_usable,Research Domains,S3T009,delta_min,delta_min,delta,,0.0036268397179628487,0.0036268397179628487,-0.03348631261670343,-0.03348631261670343,0.0402644716704934,0.0402644716704934,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,148 records,148,records,,,,,,,,,,,,,,,,,,,,,
figure_2,caption,baseline_broad_usable,Analytical Purposes,S3T010,alpha ABC,alpha ABC,alpha,,0.29403296549293545,0.29403296549293545,0.223535440449653,0.223535440449653,0.3601660366917844,0.3601660366917844,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,148 records,148,records,,,,,,,,,,,,,,,,,,,,,
figure_2,caption,baseline_broad_usable,Analytical Purposes,S3T010,alpha LBC,alpha LBC,alpha,,0.27796692162413383,0.27796692162413383,0.21103007807996027,0.21103007807996027,0.34191208382986565,0.34191208382986565,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,148 records,148,records,,,,,,,,,,,,,,,,,,,,,
figure_2,caption,baseline_broad_usable,Analytical Purposes,S3T010,alpha ALC,alpha ALC,alpha,,0.2532909474056826,0.2532909474056826,0.188232743779296,0.188232743779296,0.3175265572968267,0.3175265572968267,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,148 records,148,records,,,,,,,,,,,,,,,,,,,,,
figure_2,caption,baseline_broad_usable,Analytical Purposes,S3T010,alpha ABL,alpha ABL,alpha,,0.3626134891110433,0.3626134891110433,0.29397179657987904,0.29397179657987904,0.4254329852275081,0.4254329852275081,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,148 records,148,records,,,,,,,,,,,,,,,,,,,,,
figure_2,caption,baseline_broad_usable,Analytical Purposes,S3T010,delta_A,delta_A,delta,,-0.016066043868801616,-0.016066043868801616,-0.06580549877078036,-0.06580549877078036,0.03511256524124476,0.03511256524124476,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,148 records,148,records,,,,,,,,,,,,,,,,,,,,,
figure_2,caption,baseline_broad_usable,Analytical Purposes,S3T010,delta_B,delta_B,delta,,-0.04074201808725286,-0.04074201808725286,-0.0894884936656802,-0.0894884936656802,0.00623431479636123,0.00623431479636123,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,148 records,148,records,,,,,,,,,,,,,,,,,,,,,
figure_2,caption,baseline_broad_usable,Analytical Purposes,S3T010,delta_C,delta_C,delta,,0.06858052361810785,0.06858052361810785,0.004206452177641665,0.004206452177641665,0.12881394808114666,0.12881394808114666,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,148 records,148,records,,,,,,,,,,,,,,,,,,,,,
figure_2,caption,baseline_broad_usable,Analytical Purposes,S3T010,delta_min,delta_min,delta,,-0.04074201808725286,-0.04074201808725286,-0.08981420139627612,-0.08981420139627612,0.0014852043075420688,0.0014852043075420688,R,R,bootstrap_percentile; confidence unresolved; valid/invalid/requested draws 2000/0/2000,confidence unresolved,148 records,148,records,,,,,,,,,,,,,,,,,,,,,
