deliverable_id,role,population,dimension,label,source_order,series,quantity,pair,source_file,source_table_id,source_section,source_row_key,source_column_locator,source_value_string,parsed_value,interval_lower_string,parsed_interval_lower,interval_upper_string,parsed_interval_upper,estimate_status,interval_status,original_status_string,interval_method,confidence_level,denominator_string,sample_size,denominator_unit,support_string,support_band,exported_caution,eligible_for_per_label_performance,eligible_for_macro_average,performance_metrics_reportable,unavailable_reason,presentation_note,derivation_id,derivation_operands,row_group,display_percent
Supplementary Figure S2,plotted,hard_case,Register-entry information,Sufficient,1,Register-entry information,category count,C03,analysis/scratch_coder_results/results.md,S8T002,S8,C03; Sufficient,Estimate / count / flag (count and proportion rows),24,24,0.32,0.32,,,R,N,R/N,,,75 coder responses,75,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Register-entry information,Partially sufficient,2,Register-entry information,category count,C03,analysis/scratch_coder_results/results.md,S8T002,S8,C03; Partially sufficient,Estimate / count / flag (count and proportion rows),49,49,0.6533333333333333,0.6533333333333333,,,R,N,R/N,,,75 coder responses,75,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Register-entry information,Insufficient,3,Register-entry information,category count,C03,analysis/scratch_coder_results/results.md,S8T002,S8,C03; Insufficient,Estimate / count / flag (count and proportion rows),2,2,0.02666666666666667,0.02666666666666667,,,R,N,R/N,,,75 coder responses,75,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Register-entry information,Sufficient,1,Register-entry information,category count,Majority of coders,analysis/scratch_coder_results/results.md,S8T004,S8,Sufficient,Estimate / count / flag (count and proportion rows),42,42,0.56,0.56,,,R,N,R/N,,,75 records,75,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Register-entry information,Partially sufficient,2,Register-entry information,category count,Majority of coders,analysis/scratch_coder_results/results.md,S8T004,S8,Partially sufficient,Estimate / count / flag (count and proportion rows),30,30,0.4,0.4,,,R,N,R/N,,,75 records,75,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Register-entry information,Insufficient,3,Register-entry information,category count,Majority of coders,analysis/scratch_coder_results/results.md,S8T004,S8,Insufficient,Estimate / count / flag (count and proportion rows),0,0,0.0,0.0,,,R,N,R/N,,,75 records,75,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Register-entry information,No majority / split judgement,4,Register-entry information,category count,Majority of coders,analysis/scratch_coder_results/results.md,S8T004,S8,No majority / split judgement,Estimate / count / flag (count and proportion rows),3,3,0.04,0.04,,,R,N,R/N,,,75 records,75,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Taxonomy fit,Fit,1,Taxonomy fit,category count,C01,analysis/scratch_coder_results/results.md,S9T001,S9,C01; Fit,Estimate / count / flag (count and proportion rows),103,103,0.6866666666666666,0.6866666666666666,,,R,N,R/N,,,150 coder responses,150,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Taxonomy fit,Partial Fit,2,Taxonomy fit,category count,C01,analysis/scratch_coder_results/results.md,S9T001,S9,C01; Partial Fit,Estimate / count / flag (count and proportion rows),20,20,0.13333333333333333,0.13333333333333333,,,R,N,R/N,,,150 coder responses,150,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Taxonomy fit,No Fit,3,Taxonomy fit,category count,C01,analysis/scratch_coder_results/results.md,S9T001,S9,C01; No Fit,Estimate / count / flag (count and proportion rows),3,3,0.02,0.02,,,R,N,R/N,,,150 coder responses,150,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Taxonomy fit,Cannot assess from register entry,4,Taxonomy fit,category count,C01,analysis/scratch_coder_results/results.md,S9T001,S9,C01; Cannot assess from register entry,Estimate / count / flag (count and proportion rows),24,24,0.16,0.16,,,R,N,R/N,,,150 coder responses,150,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Taxonomy fit,Fit,1,Taxonomy fit,category count,C02,analysis/scratch_coder_results/results.md,S9T001,S9,C02; Fit,Estimate / count / flag (count and proportion rows),133,133,0.8866666666666667,0.8866666666666667,,,R,N,R/N,,,150 coder responses,150,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Taxonomy fit,Partial Fit,2,Taxonomy fit,category count,C02,analysis/scratch_coder_results/results.md,S9T001,S9,C02; Partial Fit,Estimate / count / flag (count and proportion rows),7,7,0.04666666666666667,0.04666666666666667,,,R,N,R/N,,,150 coder responses,150,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Taxonomy fit,No Fit,3,Taxonomy fit,category count,C02,analysis/scratch_coder_results/results.md,S9T001,S9,C02; No Fit,Estimate / count / flag (count and proportion rows),1,1,0.006666666666666667,0.006666666666666667,,,R,N,R/N,,,150 coder responses,150,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Taxonomy fit,Cannot assess from register entry,4,Taxonomy fit,category count,C02,analysis/scratch_coder_results/results.md,S9T001,S9,C02; Cannot assess from register entry,Estimate / count / flag (count and proportion rows),9,9,0.06,0.06,,,R,N,R/N,,,150 coder responses,150,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Taxonomy fit,Fit,1,Taxonomy fit,category count,C03,analysis/scratch_coder_results/results.md,S9T001,S9,C03; Fit,Estimate / count / flag (count and proportion rows),92,92,0.6133333333333333,0.6133333333333333,,,R,N,R/N,,,150 coder responses,150,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Taxonomy fit,Partial Fit,2,Taxonomy fit,category count,C03,analysis/scratch_coder_results/results.md,S9T001,S9,C03; Partial Fit,Estimate / count / flag (count and proportion rows),57,57,0.38,0.38,,,R,N,R/N,,,150 coder responses,150,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Taxonomy fit,No Fit,3,Taxonomy fit,category count,C03,analysis/scratch_coder_results/results.md,S9T001,S9,C03; No Fit,Estimate / count / flag (count and proportion rows),0,0,0.0,0.0,,,R,N,R/N,,,150 coder responses,150,coder,,,,,,,,,,,,
