owner_id,assignment_id,eligible_record_id,owner_sequence_position,recruitment_stage,owner_eligible_record_count,burden_diagnostic,review_instance_status
OWNER_022,REV-P29E-8S5H,2023/285,3,INITIAL_10,12,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_022,REV-8N93-NPGG,2025/044,3,INITIAL_10,12,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_022,REV-5JDA-X8KP,2025/163,3,INITIAL_10,12,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_023,REV-E2F6-2KPB,2020/111,4,INITIAL_10,11,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_023,REV-9QTK-6Q8J,2020/114,4,INITIAL_10,11,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_023,REV-NPFU-5UW4,2023/027,4,INITIAL_10,11,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_023,REV-7UFT-MVET,2023/303,4,INITIAL_10,11,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_023,REV-ZHFC-HJFE,2023/305,4,INITIAL_10,11,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_023,REV-738D-GS4U,2024/011,4,INITIAL_10,11,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_023,REV-JHJM-BF75,2024/141,4,INITIAL_10,11,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_023,REV-ANUN-3THA,2024/179,4,INITIAL_10,11,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_023,REV-D3YE-YA9K,2024/220,4,INITIAL_10,11,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_023,REV-9GYA-3S79,2025/003,4,INITIAL_10,11,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_023,REV-USVP-BBGC,2025/140,4,INITIAL_10,11,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_002,REV-MKUE-Q522,2021/004,5,INITIAL_10,10,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_002,REV-HUMZ-5RPN,2021/059,5,INITIAL_10,10,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_002,REV-RNXK-5END,2022/027,5,INITIAL_10,10,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_002,REV-H7GS-JG3K,2022/137,5,INITIAL_10,10,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_002,REV-QNZM-G6R4,2023/075,5,INITIAL_10,10,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_002,REV-BG3W-F4BW,2024/034,5,INITIAL_10,10,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_002,REV-5DY9-MWTJ,2024/172,5,INITIAL_10,10,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_002,REV-FP7C-XQTC,2025/059,5,INITIAL_10,10,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_002,REV-DUHS-TZ35,2025/083,5,INITIAL_10,10,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_002,REV-77NJ-GD58,2026/029,5,INITIAL_10,10,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_011,REV-SHXW-G69P,2022/061,6,INITIAL_10,9,,PRECREATED_UNPOPULATED
OWNER_011,REV-8B77-DNAA,2022/160,6,INITIAL_10,9,,PRECREATED_UNPOPULATED
OWNER_011,REV-G327-MEDK,2023/015,6,INITIAL_10,9,,PRECREATED_UNPOPULATED
OWNER_011,REV-NKJB-HF9S,2023/241,6,INITIAL_10,9,,PRECREATED_UNPOPULATED
OWNER_011,REV-32XX-MCP2,2024/049,6,INITIAL_10,9,,PRECREATED_UNPOPULATED
OWNER_011,REV-XF6P-U4QZ,2024/146,6,INITIAL_10,9,,PRECREATED_UNPOPULATED
OWNER_011,REV-5RC8-67ME,2025/051,6,INITIAL_10,9,,PRECREATED_UNPOPULATED
OWNER_011,REV-QSNM-JAQE,2025/191,6,INITIAL_10,9,,PRECREATED_UNPOPULATED
OWNER_011,REV-BGDT-9T8Z,2026/010,6,INITIAL_10,9,,PRECREATED_UNPOPULATED
OWNER_021,REV-QFXD-QF5D,2020/024,7,INITIAL_10,9,,PRECREATED_UNPOPULATED
OWNER_021,REV-CHQN-2XEP,2020/061,7,INITIAL_10,9,,PRECREATED_UNPOPULATED
OWNER_021,REV-CRMA-QUV6,2021/055,7,INITIAL_10,9,,PRECREATED_UNPOPULATED
OWNER_021,REV-XYS4-JM7B,2021/123,7,INITIAL_10,9,,PRECREATED_UNPOPULATED
OWNER_021,REV-U2E8-UUXJ,2021/151,7,INITIAL_10,9,,PRECREATED_UNPOPULATED
OWNER_021,REV-6WHD-HTNS,2023/077,7,INITIAL_10,9,,PRECREATED_UNPOPULATED
OWNER_021,REV-VCUJ-X87A,2023/181,7,INITIAL_10,9,,PRECREATED_UNPOPULATED
OWNER_021,REV-F7RM-3HA6,2025/165,7,INITIAL_10,9,,PRECREATED_UNPOPULATED
OWNER_021,REV-NQQX-NM59,2026/060,7,INITIAL_10,9,,PRECREATED_UNPOPULATED
OWNER_001,REV-J7NH-HHXX,2021/074,8,INITIAL_10,8,,PRECREATED_UNPOPULATED
OWNER_001,REV-FXE5-XC29,2022/048,8,INITIAL_10,8,,PRECREATED_UNPOPULATED
OWNER_001,REV-Z8ZF-FUWX,2024/043,8,INITIAL_10,8,,PRECREATED_UNPOPULATED
OWNER_001,REV-TNWR-FH4B,2024/071,8,INITIAL_10,8,,PRECREATED_UNPOPULATED
OWNER_001,REV-R4E5-Y53Z,2024/122,8,INITIAL_10,8,,PRECREATED_UNPOPULATED
OWNER_001,REV-8WPA-A5XR,2025/013,8,INITIAL_10,8,,PRECREATED_UNPOPULATED
OWNER_001,REV-KMUK-ZJZ4,2025/017,8,INITIAL_10,8,,PRECREATED_UNPOPULATED
OWNER_001,REV-NG2B-9MB6,2025/064,8,INITIAL_10,8,,PRECREATED_UNPOPULATED
OWNER_004,REV-JPND-JATC,2020/128,9,INITIAL_10,12,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_004,REV-Q9U7-CDWG,2020/129,9,INITIAL_10,12,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_004,REV-SCG3-B8J2,2021/025,9,INITIAL_10,12,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_004,REV-ZE4X-C5W3,2022/111,9,INITIAL_10,12,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_004,REV-C6NY-N64G,2023/004,9,INITIAL_10,12,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_004,REV-TJXV-BXMF,2023/056,9,INITIAL_10,12,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_004,REV-VU9G-RX4T,2023/166,9,INITIAL_10,12,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_004,REV-XNKQ-K4Z5,2024/088,9,INITIAL_10,12,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_004,REV-9PDY-CN9H,2025/158,9,INITIAL_10,12,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_004,REV-8SEM-XK38,2025/209,9,INITIAL_10,12,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_004,REV-JHNC-EEVR,2025/241,9,INITIAL_10,12,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_004,REV-ZSM8-K68K,2025/257,9,INITIAL_10,12,HIGH_COUNT_GE_10,PRECREATED_UNPOPULATED
OWNER_025,REV-ZGJR-A294,2020/012,10,INITIAL_10,8,,PRECREATED_UNPOPULATED
OWNER_025,REV-EBRH-9RB9,2020/018,10,INITIAL_10,8,,PRECREATED_UNPOPULATED
OWNER_025,REV-MFTD-JEZ3,2020/050,10,INITIAL_10,8,,PRECREATED_UNPOPULATED
OWNER_025,REV-KNFY-7M36,2020/061,10,INITIAL_10,8,,PRECREATED_UNPOPULATED
OWNER_025,REV-GKKD-W635,2022/197,10,INITIAL_10,8,,PRECREATED_UNPOPULATED
OWNER_025,REV-MV5U-D6UF,2023/164,10,INITIAL_10,8,,PRECREATED_UNPOPULATED
OWNER_025,REV-H5DA-X4RY,2023/170,10,INITIAL_10,8,,PRECREATED_UNPOPULATED
OWNER_025,REV-8H2X-T4CM,2023/174,10,INITIAL_10,8,,PRECREATED_UNPOPULATED
OWNER_024,REV-V3VB-J5BH,2021/082,11,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_024,REV-2VRT-B326,2022/047,11,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_024,REV-QSG2-U47V,2023/083,11,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_024,REV-YMPT-HMMG,2023/221,11,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_024,REV-7TH8-HUG6,2024/077,11,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_024,REV-NUX2-973Y,2024/078,11,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_024,REV-UXE2-MVTE,2024/222,11,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_015,REV-HVFH-HDWB,2023/094,12,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_015,REV-6MF9-ZFHH,2024/008,12,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_015,REV-YC3H-Q7M3,2024/127,12,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_015,REV-9PXB-UU53,2024/192,12,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_015,REV-TSYE-GM36,2024/221,12,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_015,REV-UE8P-7V9T,2025/128,12,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_015,REV-9RKJ-5Z9A,2025/197,12,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_010,REV-WJSK-6CWT,2021/138,13,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_010,REV-84G8-AKPM,2021/145,13,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_010,REV-4GZJ-EJPH,2022/175,13,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_010,REV-MPGR-UV9G,2023/069,13,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_010,REV-WCC2-K53B,2023/070,13,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_010,REV-X2TJ-8YQN,2024/076,13,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_010,REV-AYJ5-JKAV,2025/267,13,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_016,REV-MPXP-DXHY,2021/022,14,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_016,REV-94TD-4963,2021/140,14,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_016,REV-CTYJ-QBYV,2023/013,14,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_016,REV-H4WM-VK5T,2023/300,14,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_016,REV-8CHY-RW4E,2024/054,14,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_016,REV-AWDM-V5NF,2025/119,14,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_016,REV-C59N-AWH5,2026/035,14,BATCH_1,7,,PRECREATED_UNPOPULATED
OWNER_019,REV-QJDJ-PAH7,2020/061,15,BATCH_1,8,,PRECREATED_UNPOPULATED
OWNER_019,REV-UM4V-755S,2020/071,15,BATCH_1,8,,PRECREATED_UNPOPULATED
OWNER_019,REV-Q2QZ-YNNE,2020/089,15,BATCH_1,8,,PRECREATED_UNPOPULATED
OWNER_019,REV-HYPN-UDH5,2022/088,15,BATCH_1,8,,PRECREATED_UNPOPULATED
OWNER_019,REV-4SN5-CZR7,2022/160,15,BATCH_1,8,,PRECREATED_UNPOPULATED
OWNER_019,REV-7AGB-MWYT,2023/211,15,BATCH_1,8,,PRECREATED_UNPOPULATED
OWNER_019,REV-AF9Q-7QN8,2026/027,15,BATCH_1,8,,PRECREATED_UNPOPULATED
OWNER_019,REV-SKQ8-8AWZ,2026/076,15,BATCH_1,8,,PRECREATED_UNPOPULATED
OWNER_008,REV-2RHW-MP8D,2020/092,16,BATCH_2,7,,PRECREATED_UNPOPULATED
OWNER_008,REV-TGM2-8MD9,2021/083,16,BATCH_2,7,,PRECREATED_UNPOPULATED
OWNER_008,REV-T4QF-MXBV,2021/087,16,BATCH_2,7,,PRECREATED_UNPOPULATED
OWNER_008,REV-H7WF-KMES,2022/007,16,BATCH_2,7,,PRECREATED_UNPOPULATED
OWNER_008,REV-6CM7-UTF7,2023/294,16,BATCH_2,7,,PRECREATED_UNPOPULATED
OWNER_008,REV-CHHX-Y8W4,2024/027,16,BATCH_2,7,,PRECREATED_UNPOPULATED
OWNER_008,REV-WCJH-8HRU,2024/146,16,BATCH_2,7,,PRECREATED_UNPOPULATED
OWNER_013,REV-GHSK-7XHJ,2020/083,17,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_013,REV-2AV2-EB4Q,2022/072,17,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_013,REV-JGZS-Q9QJ,2022/133,17,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_013,REV-HB68-9QS4,2023/035,17,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_013,REV-YXT3-BJ8A,2024/107,17,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_013,REV-ETZR-X6BJ,2025/014,17,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_014,REV-85RS-JC6K,2021/096,18,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_014,REV-7UUE-8ZAK,2021/101,18,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_014,REV-963N-BBCQ,2022/176,18,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_014,REV-5K76-K2UQ,2024/057,18,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_014,REV-3VZV-BZ6Y,2024/075,18,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_014,REV-39TV-HQDA,2024/137,18,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_006,REV-9EAU-B9MT,2022/127,19,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_006,REV-EXAD-8S9T,2022/170,19,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_006,REV-VZWE-VBXV,2022/203,19,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_006,REV-3ERC-SBCC,2024/016,19,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_006,REV-APUD-92K6,2024/229,19,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_006,REV-SHT5-JH23,2025/255,19,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_012,REV-H954-S3EZ,2022/087,20,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_012,REV-3MBW-H48M,2024/082,20,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_012,REV-XREF-YH3K,2024/121,20,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_012,REV-EFUC-CPYX,2024/144,20,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_012,REV-4TFT-B4RB,2024/157,20,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_012,REV-4XFU-5K7G,2025/240,20,BATCH_2,6,,PRECREATED_UNPOPULATED
OWNER_020,REV-NHYJ-SUUZ,2022/094,21,BATCH_3,6,,PRECREATED_UNPOPULATED
OWNER_020,REV-NXAY-JRNR,2022/194,21,BATCH_3,6,,PRECREATED_UNPOPULATED
