Response,"Baseline, n=150: n (%) [95% interval]","Hard-case, n=75: n (%)"
Sufficient,"92 (61.33%) [53.35%, 68.75%]",42 (56.00%)
Partially sufficient,"55 (36.67%) [29.38%, 44.62%]",30 (40.00%)
Insufficient,"2 (1.33%) [0.37%, 4.73%]",0 (0.00%)
No majority / split judgement,"1 (0.67%) [0.12%, 3.68%]",3 (4.00%)
