Population and dimension,No agreed label,Agreed only on Unclear,1 agreed label,2 agreed labels,3 agreed labels
Baseline — purposes (n=150),24 (16%),26 (17%),97 (65%),3 (2%),0 (0%)
Baseline — domains (n=150),5 (3%),13 (9%),107 (71%),22 (15%),3 (2%)
"Hard-case, diagnostic — purposes (n=75)",9 (12%),20 (27%),42 (56%),4 (5%),0 (0%)
"Hard-case, diagnostic — domains (n=75)",6 (8%),3 (4%),45 (60%),18 (24%),3 (4%)
