Row group,Label,Applied by coder majority (n),C01–C02,C01–C03,C02–C03,C01,C02,C03
Applied by coder majority to 30 or more records,Business & Productivity,41,"0.75 [0.63, 0.86]","0.68 [0.54, 0.81]","0.74 [0.59, 0.85]","0.78 [0.67, 0.88]","0.85 [0.75, 0.93]","0.78 [0.65, 0.88]"
Applied by coder majority to 30 or more records,Labour Market & Employment,39,"0.65 [0.52, 0.78]","0.60 [0.47, 0.74]","0.71 [0.56, 0.83]","0.56 [0.43, 0.69]","0.61 [0.47, 0.73]","0.63 [0.50, 0.75]"
"Applied by coder majority to 10–29 records: fewer records, so wider intervals; interpret with caution",Education & Skills,27,"0.66 [0.49, 0.80]","0.61 [0.43, 0.76]","0.78 [0.62, 0.91]","0.88 [0.78, 0.96]","0.76 [0.61, 0.87]","0.68 [0.52, 0.81]"
"Applied by coder majority to 10–29 records: fewer records, so wider intervals; interpret with caution",Health & Social Care,23,"0.73 [0.56, 0.88]","0.73 [0.58, 0.87]","0.76 [0.58, 0.90]","0.86 [0.72, 0.96]","0.79 [0.63, 0.92]","0.83 [0.69, 0.94]"
"Applied by coder majority to 10–29 records: fewer records, so wider intervals; interpret with caution","Poverty, Wealth & Living Standards",11,"0.25 [0.02, 0.46]","0.29 [0.07, 0.50]","0.66 [0.41, 0.84]","0.38 [0.14, 0.59]","0.46 [0.16, 0.70]","0.43 [0.15, 0.67]"
"Unclear from Register Entry — fewer records, so wider intervals; interpret with caution",Unclear from Register Entry,13,"0.24 [-0.04, 0.50]","0.15 [0.02, 0.31]","0.32 [0.15, 0.49]","0.24 [0.00, 0.66]","0.12 [0.00, 0.35]","0.04 [0.00, 0.12]"
