quantity,state_n,estimate,lower,upper,valid_replicates,invalid_replicates,requested_replicates,interval_status
card_0,5,0; 0.000000,0.000000,0.000000,2000,0,2000,R
card_1,5,4; 0.800000,0.400000,1.000000,2000,0,2000,R
card_2,5,1; 0.200000,0.000000,0.600000,2000,0,2000,R
card_3plus,5,0; 0.000000,0.000000,0.000000,2000,0,2000,R
model_unclear,5,0; 0.000000,0.000000,0.000000,2000,0,2000,R
support_0_of_3,5,1; 0.166667,0.000000,0.600000,2000,0,2000,R
support_1_of_3,5,5; 0.833333,0.400000,1.000000,2000,0,2000,R
support_2_of_3,5,0; 0.000000,0.000000,0.000000,2000,0,2000,R
support_3_of_3,5,0; 0.000000,0.000000,0.000000,2000,0,2000,R
