quantity,state_n,estimate,lower,upper,valid_replicates,invalid_replicates,requested_replicates,interval_status
card_0,6,0; 0.000000,0.000000,0.000000,2000,0,2000,R
card_1,6,3; 0.500000,0.166667,0.833333,2000,0,2000,R
card_2,6,3; 0.500000,0.166667,0.833333,2000,0,2000,R
card_3plus,6,0; 0.000000,0.000000,0.000000,2000,0,2000,R
model_unclear,6,0; 0.000000,0.000000,0.000000,2000,0,2000,R
support_0_of_3,6,3; 0.333333,0.100000,0.571429,2000,0,2000,R
support_1_of_3,6,6; 0.666667,0.428571,0.900000,2000,0,2000,R
support_2_of_3,6,0; 0.000000,0.000000,0.000000,2000,0,2000,R
support_3_of_3,6,0; 0.000000,0.000000,0.000000,2000,0,2000,R
