quantity,state_n,estimate,lower,upper,valid_replicates,invalid_replicates,requested_replicates,interval_status
exact_match_proportion,73,0.506849,0.397260,0.616438,2000,0,2000,R
mean_jaccard,73,0.568493,0.465753,0.671233,2000,0,2000,R
set_rel_exact,73,37; 0.506849,0.397260,0.616438,2000,0,2000,R
set_rel_strict_superset,73,6; 0.082192,0.027397,0.150685,2000,0,2000,R
set_rel_strict_subset,73,3; 0.041096,0.000000,0.095890,2000,0,2000,R
set_rel_partial_overlap,73,0; 0.000000,0.000000,0.000000,2000,0,2000,R
set_rel_disjoint,73,27; 0.369863,0.273973,0.479452,2000,0,2000,R
mean_model_cardinality,73,1.109589,1.041096,1.191781,2000,0,2000,R
mean_majority_cardinality,73,1.041096,1.000000,1.095890,2000,0,2000,R
majority_gt2_proportion,73,0; 0.000000,0.000000,0.000000,2000,0,2000,R
support_0_of_3,73,12; 0.148148,0.076923,0.222222,2000,0,2000,R
support_1_of_3,73,23; 0.283951,0.190461,0.382716,2000,0,2000,R
support_2_of_3,73,38; 0.469136,0.365854,0.576974,2000,0,2000,R
support_3_of_3,73,8; 0.098765,0.037975,0.160920,2000,0,2000,R
