quantity,state_n,estimate,lower,upper,valid_replicates,invalid_replicates,requested_replicates,interval_status
card_0,9,0; 0.000000,0.000000,0.000000,2000,0,2000,R
card_1,9,7; 0.777778,0.444444,1.000000,2000,0,2000,R
card_2,9,2; 0.222222,0.000000,0.555556,2000,0,2000,R
card_3plus,9,0; 0.000000,0.000000,0.000000,2000,0,2000,R
model_unclear,9,0; 0.000000,0.000000,0.000000,2000,0,2000,R
support_0_of_3,9,3; 0.272727,0.000000,0.545455,2000,0,2000,R
support_1_of_3,9,8; 0.727273,0.454545,1.000000,2000,0,2000,R
support_2_of_3,9,0; 0.000000,0.000000,0.000000,2000,0,2000,R
support_3_of_3,9,0; 0.000000,0.000000,0.000000,2000,0,2000,R
