quantity,state_n,estimate,lower,upper,valid_replicates,invalid_replicates,requested_replicates,interval_status
card_0,24,0; 0.000000,0.000000,0.000000,2000,0,2000,R
card_1,24,23; 0.958333,0.875000,1.000000,2000,0,2000,R
card_2,24,1; 0.041667,0.000000,0.125000,2000,0,2000,R
card_3plus,24,0; 0.000000,0.000000,0.000000,2000,0,2000,R
model_unclear,24,0; 0.000000,0.000000,0.000000,2000,0,2000,R
support_0_of_3,24,5; 0.200000,0.041667,0.375000,2000,0,2000,R
support_1_of_3,24,20; 0.800000,0.625000,0.958333,2000,0,2000,R
support_2_of_3,24,0; 0.000000,0.000000,0.000000,2000,0,2000,R
support_3_of_3,24,0; 0.000000,0.000000,0.000000,2000,0,2000,R
