purpose,count
Outcome Tracking,486
Descriptive Monitoring,420
Policy Evaluation / Impact Analysis,258
Methodological / Infrastructure Research,121
Life-Course / Trajectory Analysis,97
Service Interaction / Systems Analysis,35
Risk Prediction / Early Identification,13
Unclear from Register Entry,6
