domain,count
Labour Market & Employment,441
Business & Productivity,372
Health & Social Care,260
Education & Skills,255
"Poverty, Wealth & Living Standards",92
Crime & Justice,80
Data Infrastructure & Methodology,79
Environment & Agriculture,77
Migration & Demographics,68
Housing & Planning,46
Public Finance & Taxation,31
Unclear from Register Entry,2
