domain,count
Labour Market & Employment,429
Business & Productivity,379
Education & Skills,255
Health & Social Care,252
"Poverty, Wealth & Living Standards",92
Environment & Agriculture,90
Migration & Demographics,84
Crime & Justice,80
Data Infrastructure & Methodology,51
Housing & Planning,46
Public Finance & Taxation,27
Unclear from Register Entry,4
