purpose,count
Outcome Tracking,480
Descriptive Monitoring,412
Policy Evaluation / Impact Analysis,248
Life-Course / Trajectory Analysis,97
Methodological / Infrastructure Research,78
Service Interaction / Systems Analysis,26
Risk Prediction / Early Identification,19
Unclear from Register Entry,4
