field,canonical_entity,source_form_class,distinct_observed_forms,total_occurrences,modal_form_occurrences,minimum_required_relabels,records,changed_occurrences,fragmentation_rank
datasets,Statutory Homelessness Flows - England,single_observed_form,1,2,2,0,2,2,
datasets,MoJ Data First Magistrates' Court Defendant,fragmented_observed_forms,2,3,2,1,3,1,109
datasets,MoJ Data First Linked Criminal Courts And Prisons Defendant,single_observed_form,1,1,1,0,1,1,
datasets,COVID-19 Infection Survey linked to NHS Test and Trace,single_observed_form,1,1,1,0,1,1,
datasets,COVID-19 Schools Infection Survey linked to Test and Trace,fragmented_observed_forms,2,2,1,1,2,2,115
datasets,Decision Maker Panel,fragmented_observed_forms,2,9,8,1,9,8,97
datasets,Northern Ireland School Leavers Survey Northern Ireland Exams Database,single_observed_form,1,1,1,0,1,0,
datasets,Statutory Homelessness Flows,single_observed_form,1,1,1,0,1,1,
datasets,Growing Up in England Wave 2 (GUIE),fragmented_observed_forms,3,7,3,4,7,7,61
datasets,Growing Up in England Wave 2 - Exclusions,fragmented_observed_forms,2,6,5,1,6,1,100
datasets,English School Census Absences,single_observed_form,1,6,6,0,6,6,
datasets,Bespoke Refugee Integration Outcomes Cohort Study England,single_observed_form,1,1,1,0,1,0,
datasets,Labour Force Survey Two-Quarter Longitudinal,single_observed_form,1,5,5,0,5,5,
datasets,Monthly Business Survey for Construction and Allied Trades,single_observed_form,1,1,1,0,1,1,
datasets,Short Term Employment Survey,single_observed_form,1,1,1,0,1,1,
datasets,Employer Skills Survey and Investment in Training,fragmented_observed_forms,2,15,14,1,15,14,96
datasets,COVID-19 Infection Survey linked to Combined Vaccination - UK ONS,single_observed_form,1,2,2,0,2,0,
datasets,DHSC: COVID-19 Infection Survey linked to NHS Test and Trace,single_observed_form,1,2,2,0,2,2,
datasets,Schools Daily Contact Testing,single_observed_form,1,1,1,0,1,1,
datasets,COVID-19 Vaccine Opinions Survey,single_observed_form,1,2,2,0,2,2,
datasets,NHS Test and Trace,single_observed_form,1,1,1,0,1,1,
datasets,Children and Family Court Advisory and Support Service (CAFCASS England),single_observed_form,1,1,1,0,1,0,
datasets,MoJ Data First Family Court,fragmented_observed_forms,6,6,1,5,6,6,51
datasets,MoJ Data First Familyman Family Court,single_observed_form,1,1,1,0,1,1,
datasets,Bespoke Admin Data: Agricultural Research Collection,single_observed_form,1,1,1,0,1,1,
datasets,Census 2011 linked to Benefits and Income,single_observed_form,1,3,3,0,3,3,
datasets,EOL,fragmented_observed_forms,2,2,1,1,2,1,120
datasets,Bespoke Equalities Data Asset: Companies House - Census 2011,single_observed_form,1,1,1,0,1,1,
datasets,Investment by insurance companies,single_observed_form,1,1,1,0,1,0,
datasets,pension funds and trusts,single_observed_form,1,1,1,0,1,1,
datasets,British Election Panel Study,single_observed_form,1,1,1,0,1,0,
datasets,British Local Election Database,single_observed_form,1,1,1,0,1,0,
datasets,Childcare and Early Years Provision: Providers' Survey,single_observed_form,1,1,1,0,1,0,
datasets,English Longitudinal Study of Ageing,single_observed_form,1,1,1,0,1,0,
datasets,Expenditure and Food Survey,single_observed_form,1,2,2,0,2,0,
datasets,Family Expenditure Survey,single_observed_form,1,1,1,0,1,0,
datasets,Family Resources Survey,fragmented_observed_forms,2,8,5,3,8,5,67
datasets,General Household Survey,single_observed_form,1,1,1,0,1,0,
datasets,Health and Lifestyle Survey,single_observed_form,1,1,1,0,1,0,
datasets,Health Survey for England,single_observed_form,1,1,1,0,1,0,
datasets,Households Below Average Income,single_observed_form,1,1,1,0,1,0,
datasets,International Passenger Survey,single_observed_form,1,2,2,0,2,0,
datasets,National Travel Survey,fragmented_observed_forms,2,5,3,2,5,2,86
datasets,ONS Omnibus Survey,single_observed_form,1,1,1,0,1,0,
datasets,Quarterly Labour Force Survey Household,single_observed_form,1,1,1,0,1,1,
datasets,Survey of Personal Incomes,single_observed_form,1,1,1,0,1,0,
datasets,COVID-19 Study,single_observed_form,1,2,2,0,2,0,
datasets,Innovation Panel,single_observed_form,1,2,2,0,2,0,
