rank,canonical_value,affected_records,total_occurrences,unique_records,changed_occurrences,n_distinct_raw_variants,existing_match_types,raw_variants,raw_variants_suppressed,suppression_reason
285,Digital Economy Survey,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
286,Digital library of historical directories,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
287,Emergency Care Data Set monthly in England indexed,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
288,Employer Skills Survey: Investment in Training,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
289,Energy and Industrial Strategy: Community Innovation Survey,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
290,English Longitudinal Study of Ageing,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
291,Enhanced Linked Trade-in-Goods/Inter-Departmental Business Register,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
292,Family Expenditure Survey,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
293,Financial Assets and Liabilities Survey,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
294,General Household Survey,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
295,General Lifestyle Survey to 2010,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
296,Growing Up in England Wave 2 Vulnerability Measures,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
297,Harmonised BHPS Waves 1-18,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
298,Health Survey for England,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
299,Health and Lifestyle Survey,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
300,Households Below Average Income,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
301,Infant Mortality linkage of 2011 Census,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
302,Investment by insurance companies,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
303,Investment in Intangible Assets,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
304,Labour Force Survey Indexed,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
305,Linked Census and death occurrences Office for National Statistics /,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
306,Linked Inter-Departmental Business Register and Valuation Office Agency,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
307,Longitudinal Business Register,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
308,Longitudinal Inter-Development Business Register,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
309,Longitudinal Study of young people in England,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
310,Low carbon and renewable energy economy,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
311,NI Annual Business Inquiry,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
312,NN4B,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
313,National Travel Survey England,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
314,National Travel Survey English Housing Survey,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
315,Northern Ireland Economic Trade Statistics (NIETS),0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
316,Northern Ireland Economic Trade Statistics (NIETS) Northern Ireland Annual Survey of Hours and Earnings (NI ASHE),0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
317,Northern Ireland Exams Database,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
318,Northern Ireland School Leavers Survey,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
319,Northern Ireland School Leavers Survey Northern Ireland Exams Database,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
320,ONS Census 2021,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
321,ONS Omnibus Survey,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
322,Occupational differences in mortality from COVID-19,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
323,Provisional Monthly Extracts England and Wales,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
324,Public Attitudes Tracker,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
325,Quarterly Fuels Inquiry / Quarterly Fuels Survey,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
326,Quarterly Survey of Financial Assets and Liabilities,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
327,Retail Price Index,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
328,Safeguarded Living Costs and Food Survey,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
329,Secure Access version of Understanding Society Data and Harmonised BHPS Geography files,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
330,Secure Census 2011 Scotland,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
331,Small Business Survey Longitudinal,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
332,Standard Industrial Classification and Occupational lookup,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
333,Street Level Crime for England,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
334,Survey of Personal Incomes,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
335,Trade in Services,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
336,UCAS Grading and Admissions Qualifications Wales,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
337,UK Gross Value Added for lower layer super output areas,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
338,UK Household Longitudinal Study Mainstage Survey Wave 6,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
339,UK research and Innovation Workforce Survey,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
340,UK small area gross value added estimates,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
341,UK: 2023,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
342,Understanding Society Waves 1-9,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
343,Understanding Society and Harmonised BHPS,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
344,Urban Population Database,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
345,Valuation data of Scottish properties,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
346,Wealth and Assets Survey Great Britain,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
347,Workplace Employee Relations Survey,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
