rank,canonical_value,affected_records,total_occurrences,unique_records,changed_occurrences,n_distinct_raw_variants,existing_match_types,raw_variants,raw_variants_suppressed,suppression_reason
56,Kingston University,2,3,3,2,2,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
57,Equality and Human Rights Commission (EHRC),2,2,2,2,2,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
58,"ADS (Aerospace, Defence, Security, Space) Group Limited",2,2,2,2,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
59,National Physical Laboratory (NPL),2,2,2,2,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
60,University of Sheffield,1,31,31,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
61,University of Sussex,1,19,19,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
62,University of Surrey,1,17,17,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
63,Belmana,1,15,15,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
64,University of St Andrews,1,15,15,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
65,University of Reading,1,13,13,1,2,identity; parser_cleanup,,True,reserve membership artefacts unavailable; all observed raw strings withheld
66,University of York,1,13,13,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
67,University of East Anglia,1,12,12,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
68,London Economics,1,10,10,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
69,University of Dundee,1,10,10,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
70,University of Kent,1,8,8,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
71,Heriot-Watt University,1,6,6,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
72,RSM UK,1,4,4,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
73,Manchester Metropolitan University,1,3,3,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
74,Nottingham Trent University,1,3,3,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
75,RAND Europe,1,3,3,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
76,University of Barcelona,1,3,3,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
77,ARUP,1,2,2,1,2,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
78,Economic Statistics Centre of Excellence,1,2,2,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
79,Economic and Social Research Institute (ESRI),1,2,2,1,2,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
80,European University Institute,1,2,2,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
81,Fraser of Allander Institute (University of Strathclyde),1,2,2,1,2,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
82,Health Foundation,1,2,2,1,2,identity; parser_cleanup,,True,reserve membership artefacts unavailable; all observed raw strings withheld
83,Henley Business School (University of Reading),1,2,2,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
84,Learning and Work Institute,1,2,2,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
85,Middlesex University,1,2,2,1,2,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
86,Teesside University,1,2,2,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
87,University of Northampton,1,2,2,1,2,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
88,University of Plymouth,1,2,2,1,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
89,Academy of Medical Sciences,1,1,1,1,1,parser_cleanup,,True,reserve membership artefacts unavailable; all observed raw strings withheld
90,Administrative Data Research Wales,1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
91,"Birkbeck, University of London",1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
92,Bournemouth University,1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
93,Cardiff Metropolitan University,1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
94,Centre for Economic and Business Research (CEBR),1,1,1,1,1,parser_cleanup,,True,reserve membership artefacts unavailable; all observed raw strings withheld
95,"Centre for Healthcare Evaluation, Device Assessment, and Research (CEDAR)",1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
96,Chartered Institute of Personnel and Development (CIPD),1,1,1,1,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
97,Coventry University,1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
98,Cranfield University,1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
99,"Department for Business, Innovation and Skills",1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
100,"Department for Digital, Culture, Media and Sport",1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
