rank,canonical_value,affected_records,total_occurrences,unique_records,changed_occurrences,n_distinct_raw_variants,existing_match_types,raw_variants,raw_variants_suppressed,suppression_reason
244,Pensions Policy Institute,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
245,Perspective Economics,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
246,Publishers Association,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
247,"Queen's University Belfast Management, School",0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
248,Research Center in Applied Economics for Development CREAD - Algeria,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
249,SGN,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
250,Saga City Research,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
251,ScaleUp Institute,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
252,Sheffield Teaching Hospitals NHS Foundation Trust,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
253,Social Care Wales,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
254,Social Market Foundation,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
255,St Mungo's,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
256,Stanford University,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
257,State of Life,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
258,Stripe Partners,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
259,Swansea Bay University Health Board,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
260,Tees Valley Combined Authority,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
261,The Lesbian Project,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
262,The Police Foundation,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
263,The Young Foundation - Institute for Community Studies,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
264,Trier University,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
265,UK Export Finance,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
266,University of Aberdeen,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
267,University of Antwerp,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
268,University of California,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
269,University of Florida,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
270,University of Greenwich,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
271,University of Lugano,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
272,University of Portsmouth,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
273,University of Roehampton,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
274,University of South Wales,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
275,University of Texas,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
276,University of the West of Scotland,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
277,Vanguard,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
278,WPI Economics,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
279,Wavehill Limited,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
280,Welsh Value in Health Centre,0,1,1,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
281,What Works for Children's Social Care,0,1,1,0,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
