domain,count
Labour Market & Employment,436
Business & Productivity,390
Education & Skills,294
Health & Social Care,245
"Poverty, Inequality & Living Standards",183
"Gender, Race & Ethnicity",109
Migration & Demographics,98
Environment & Agriculture,87
Crime & Justice,79
COVID-19 & Pandemic,78
Housing & Planning,50
Public Finance & Taxation,45
Data Infrastructure & Methodology,40
Unclear from Title,2
