primary_domain,Descriptive Monitoring,Inequality / Disparities Analysis,Life-Course / Trajectory Analysis,Methodological / Infrastructure Research,Outcome Tracking,Policy Evaluation / Impact Analysis,Risk Prediction / Early Identification,Service Interaction / Systems Analysis
Business & Productivity,140,4,0,14,58,107,0,1
Education & Skills,43,40,26,4,78,32,3,2
"Gender, Race & Ethnicity",2,18,1,1,0,1,0,0
Health & Social Care,43,31,11,5,42,17,11,11
Labour Market & Employment,95,57,13,6,30,44,0,0
"Poverty, Inequality & Living Standards",29,26,5,5,4,10,2,0
