purpose,count
Descriptive Monitoring,441
Policy Evaluation / Impact Analysis,266
Outcome Tracking,261
Inequality / Disparities Analysis,207
Life-Course / Trajectory Analysis,66
Methodological / Infrastructure Research,64
Service Interaction / Systems Analysis,25
Risk Prediction / Early Identification,20
Unclear from Title,2
