primary_domain,Cross-Domain Linkage,Single-Dataset,Within-Domain Linkage
Business & Productivity,32,71,218
Education & Skills,67,114,27
"Gender, Race & Ethnicity",1,12,7
Health & Social Care,40,88,25
Labour Market & Employment,52,79,102
"Poverty, Inequality & Living Standards",11,39,22
